Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component,Papers
Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0030312, GO:1902494, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987",GO:0003824,"GO:0043226, GO:1902494, GO:0005622, GO:0098798","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0016020, GO:0005622, GO:0031974, GO:1902494","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9DB77,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0050896",GO:0005488,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987, GO:0051179","GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q91ZA3,PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial {ECO:0000305|PubMed:11461925}",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']",GO:0008152,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8K183,PDXK_MOUSE,Pyridoxal kinase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488",nan,"['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0065007, GO:0009987, GO:0023052","GO:0005488, GO:0060090","GO:0016020, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0051179, GO:0007610, GO:0009987, GO:0032501",GO:0005488,"GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0019898, GO:0030054","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152","GO:0003824, GO:0005488",GO:0016020,"['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0040007, GO:0032502, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:1902494, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0007610, GO:0098754, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005488, GO:0016209","GO:0043226, GO:0016020, GO:0005622, GO:0031974, GO:0009295","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152, GO:0044419","GO:0003824, GO:0005488, GO:0098772","GO:0043226, GO:0140535, GO:0099080, GO:0016020, GO:0005622, GO:0090734, GO:0140534, GO:1902494, GO:0098796, GO:0030054","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
