Uniprot Entry,Brain Part
Gabra6,Cerebellum
Grid2,Cerebellum
Fam107b,Cerebellum
Pcp2,Cerebellum
Atp2a3,Cerebellum
Synpo2,Cerebellum
Cep76,Cerebellum
Slc1a6,Cerebellum
Strn,Cerebellum
Spry3,Cerebellum
Dao,Cerebellum
Hopx,Cerebellum
Chn2,Cerebellum
Rps6ka1,Cerebellum
Cdc42ep4,Cerebellum
Cbln3,Cerebellum
Esyt1,Cerebellum
Cdh15,Cerebellum
Sncg,Cerebellum
Ppp3cc,Cerebellum
Asph,Cerebellum
Syt2,Cerebellum
Gng4,Cerebellum
Calb2,Cerebellum
Icmt,Cerebellum
Bcr,Cerebellum
Plcb3,Cerebellum
Mesdc2,Cerebellum
Pde1b,Cerebellum
BC026585,Cerebellum
Mtss1,Cerebellum
Cadps2,Cerebellum
Grm3,Cerebellum
Hpcal4,Cerebellum
Plekhd1,Cerebellum
Cpne6,Cerebellum
Kcnc3,Cerebellum
Vim,Cerebellum
Arpc5,Cerebellum
Hcn2,Cerebellum
Gpsm1,Cerebellum
Cdc42ep1,Cerebellum
Cacna1a,Cerebellum
Akap2,Cerebellum
Prkg1,Cerebellum
Cast,Cerebellum
Plcl1,Cerebellum
Pde1a,Cerebellum
Dffa,Cerebellum
Prkca,Cerebellum
Actn1,Cerebellum
Slc12a2,Cerebellum
Hpcal1,Cerebellum
Homer3,Cerebellum
Slc1a3,Cerebellum
0610007P14Rik,Cerebellum
Rdh11,Cerebellum
Vat1,Cerebellum
Elmo2,Cerebellum
Dgkb,Cerebellum
Kcnip4,Cerebellum
Lgi3,Cerebellum
Gpc6,Cerebellum
Gpr37l1,Cerebellum
S1pr1,Cerebellum
Msn,Cerebellum
Vamp1,Cerebellum
Fam81a,Cerebellum
Ppp1ca,Cerebellum
Ampd2,Cerebellum
Gng7,Cerebellum
Ccdc136,Cerebellum
Itpka,Cerebellum
Atp2b4,Cerebellum
Cacng8,Cerebellum
Hist1h4a,Cerebellum
Hist1h4i,Cerebellum
Hist2h4,Cerebellum
H2afv,Cerebellum
Hist1h2al,Cerebellum
Selm,Cerebellum
Mpp3,Cerebellum
AW551984,Cerebellum
Bcar1,Cerebellum
Vat1l,Cerebellum
D430041D05Rik,Cerebellum
Hapln2,Cerebellum
Ccdc90b,Cerebellum
Itih3,Cerebellum
Arhgap26,Cerebellum
Phactr1,Cerebellum
Dusp15,Cerebellum
Nap1l5,Cerebellum
Camk4,Cerebellum
Scg2,Cerebellum
Fbxl16,Cerebellum
Pcdh1,Cerebellum
Dgki,Cerebellum
Cyp2j9,Cerebellum
Gaa,Cerebellum
Shisa6,Cerebellum
Hn1,Cerebellum
Rgs8,Cerebellum
Impact,Cerebellum
Hap1,Cerebellum
Ppp1r1b,Cerebellum
Lxn,Cerebellum
Inf2,Cerebellum
Adcy1,Cerebellum
Gria2,Cerebellum
Gria3,Cerebellum
Pcsk1n,Cerebellum
Inpp5a,Cerebellum
Grb2,Cerebellum
Ppp1r17,Cerebellum
Ppp1r9a,Cerebellum
Nefh,Cerebellum
Ank1,Cerebellum
Lgi2,Cerebellum
Git2,Cerebellum
Sacs,Cerebellum
Nt5c1a,Cerebellum
Sqstm1,Cerebellum
Arhgdib,Cerebellum
Sypl,Cerebellum
Celf2,Cerebellum
Nfya,Cerebellum
Hpca,Cerebellum
Gprasp2,Cerebellum
Dek,Cerebellum
Smarce1,Cerebellum
Ahi1,Cerebellum
S100b,Cerebellum
Shank3,Cerebellum
H1f0,Cerebellum
Cbr3,Cerebellum
Cox17,Cerebellum
Psd2,Cerebellum
Arpp19,Cerebellum
Rbbp4,Cerebellum
Fabp7,Cerebellum
Cnksr2,Cerebellum
Prkcb,Cerebellum
Crym,Cerebellum
Car4,Cerebellum
Sgsm1,Cerebellum
Maob,Cerebellum
Sptb,Cerebellum
Calb1,Cerebellum
Pcp4l1,Cerebellum
Ybx1,Cerebellum
Grm2,Cerebellum
H2afj,Cerebellum
Cherp,Cerebellum
Hist1h4b,Cerebellum
Hist1h4c,Cerebellum
Hist1h4d,Cerebellum
Hist1h4f,Cerebellum
Hist1h4h,Cerebellum
Hist1h4j,Cerebellum
Hist1h4k,Cerebellum
Hist1h4m,Cerebellum
Hist1h4n,Cerebellum
Hist4h4,Cerebellum
Opalin,Cerebellum
Itpr1,Cerebellum
Ctnna3,Cerebellum
Hist1h1e,Cerebellum
Dagla,Cerebellum
Hist1h1b,Cerebellum
Syt12,Cerebellum
Nefm,Cerebellum
Gad2,Cerebellum
Ewsr1,Cerebellum
Rims4,Cerebellum
Phkb,Cerebellum
Scg5,Cerebellum
Hist1h2bm,Cerebellum
Hist2h2bb,Cerebellum
Gtf2i,Cerebellum
Lyn,Cerebellum
Wdr82,Cerebellum
Ephb2,Cerebellum
Hist1h1d,Cerebellum
Nqo1,Cerebellum
Nudt11,Cerebellum
Nefl,Cerebellum
Prepl,Cerebellum
Fam63a,Cerebellum
Plxna1,Cerebellum
Slc7a11,Cerebellum
Xkr7,Cerebellum
Isoc1,Cerebellum
Acap3,Cerebellum
Hebp2,Cerebellum
Tmem55a,Cerebellum
Hnrnpab,Cerebellum
Khdrbs1,Cerebellum
Hdgfrp3,Cerebellum
Mprip,Cerebellum
H13,Cerebellum
Anp32e,Cerebellum
Scg3,Cerebellum
Sf3b5,Cerebellum
Car8,Cerebellum
Ddc,Cerebellum
Srsf6,Cerebellum
Hn1l,Cerebellum
Kctd8,Cerebellum
Ddah2,Cerebellum
Tceal5,Cerebellum
Ptprn,Cerebellum
Gria1,Cerebellum
Itpr3,Cerebellum
Pbx1,Cerebellum
Hnrnpa1,Cerebellum
Tceal3,Cerebellum
Ehd1,Cerebellum
Ilf3,Cerebellum
Eps8l2,Cerebellum
Dgkz,Cerebellum
Fam169a,Cerebellum
Cpne3,Cerebellum
Safb,Cerebellum
Rps6ka2,Cerebellum
Tceal6,Cerebellum
Abhd16a,Cerebellum
Nfix,Cerebellum
Atp1b3,Cerebellum
Apip,Cerebellum
Clic1,Cerebellum
Ptprn2,Cerebellum
A230065H16Rik,Cerebellum
Tmem163,Cerebellum
4921509C19Rik,Cerebellum
Mlc1,Cerebellum
Cdc42ep2,Cerebellum
Nup205,Cerebellum
Lpgat1,Cerebellum
Nono,Cerebellum
H2afy,Cerebellum
Snrnp27,Cerebellum
Zfp385a,Cerebellum
Cacng2,Cerebellum
Actn2,Cerebellum
Stim1,Cerebellum
Mecp2,Cerebellum
Bnip2,Cerebellum
Fubp1,Cerebellum
Gm6750,Cerebellum
Gm7931,Cerebellum
Hmgn2,Cerebellum
Hist2h2aa1,Cerebellum
Hist2h2aa2,Cerebellum
Eps15,Cerebellum
Nudt10,Cerebellum
Ebp,Cerebellum
H2afz,Cerebellum
0610009B22Rik,Cerebellum
Acot11,Cerebellum
Actr3b,Cerebellum
Arhgef33,Cerebellum
Cbx1,Cerebellum
Cdk19,Cerebellum
Ctbp2,Cerebellum
Dner,Cerebellum
E330009J07Rik,Cerebellum
Epb4.1,Cerebellum
Fat2,Cerebellum
Flna,Cerebellum
Gm14147,Cerebellum
Gm14151,Cerebellum
Gm17748,Cerebellum
Gria4,Cerebellum
Grm1,Cerebellum
Hmgb2,Cerebellum
Hmgn3,Cerebellum
Ipcef1,Cerebellum
Isoc2a,Cerebellum
LOC101055828,Cerebellum
LOC637733,Cerebellum
Parva,Cerebellum
Pcif1,Cerebellum
Pde2a,Cerebellum
Plcb4,Cerebellum
Plrg1,Cerebellum
Ppp1r16b,Cerebellum
Prex1,Cerebellum
Prrt1,Cerebellum
Prune2,Cerebellum
Psip1,Cerebellum
Rad21,Cerebellum
Rmdn3,Cerebellum
Serpinh1,Cerebellum
Shank1,Cerebellum
Shf,Cerebellum
Slc14a1,Cerebellum
Spag1,Cerebellum
Sptb,Cerebellum
Srgap2,Cerebellum
Srsf10,Cerebellum
Tuba8,Cerebellum
Vimp,Cerebellum
Lmnb1,Cerebellum
Rbm3,Cerebellum
Hdgf,Cerebellum
