,Occurences
cellular process,249
localization,83
signaling,19
multicellular organismal process,43
biological regulation,196
developmental process,76
biological adhesion,14
response to stimulus,71
metabolic process,110
behavior,16
locomotion,13
immune system process,15
detoxification,1
growth,7
biological process involved in interspecies interaction between organisms,13
rhythmic process,6
reproductive process,10
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
