Uniprot Entry,Brain Part
Grid2,Cortex
Pcp2,Cortex
Strn,Cortex
Hopx,Cortex
Cdc42ep4,Cortex
Sncg,Cortex
Asph,Cortex
Syt2,Cortex
Gng4,Cortex
Calb2,Cortex
Cyld,Cortex
Bcr,Cortex
Kcnb1,Cortex
Plcb3,Cortex
Mesdc2,Cortex
Baiap3,Cortex
Pde1b,Cortex
BC026585,Cortex
Cadps2,Cortex
Grm3,Cortex
Hpcal4,Cortex
Cpne6,Cortex
Vim,Cortex
Adcy5,Cortex
Arpc5,Cortex
Hcn2,Cortex
Gpsm1,Cortex
Cacna1a,Cortex
Akap2,Cortex
Cpne4,Cortex
Plcl1,Cortex
Pde1a,Cortex
Dffa,Cortex
Prkca,Cortex
Actn1,Cortex
Slc12a2,Cortex
Hpcal1,Cortex
Slc1a3,Cortex
Necab2,Cortex
Rdh11,Cortex
Vat1,Cortex
Gnal,Cortex
Elmo2,Cortex
Grin2b,Cortex
Dgkb,Cortex
Kcnip4,Cortex
Lgi3,Cortex
S1pr1,Cortex
Msn,Cortex
Gpc4,Cortex
Vamp1,Cortex
Fam81a,Cortex
Ppp1ca,Cortex
Ampd2,Cortex
Gng7,Cortex
Ccdc136,Cortex
Itpka,Cortex
Atp2b4,Cortex
Cacng8,Cortex
Hist1h4a,Cortex
Hist1h4i,Cortex
Hist2h4,Cortex
H2afv,Cortex
Hist1h2al,Cortex
Selm,Cortex
Mpp3,Cortex
Shisa7,Cortex
Tiam2,Cortex
AW551984,Cortex
Vat1l,Cortex
D430041D05Rik,Cortex
Epha4,Cortex
Synpo,Cortex
Itih3,Cortex
Arhgap26,Cortex
Phactr1,Cortex
Dusp15,Cortex
Nap1l5,Cortex
Camk4,Cortex
Scg2,Cortex
Fbxl16,Cortex
Pcdh1,Cortex
Dgki,Cortex
Gaa,Cortex
Hn1,Cortex
Impact,Cortex
Chrm4,Cortex
Hap1,Cortex
Ppp1r1b,Cortex
Lxn,Cortex
Inf2,Cortex
Adcy1,Cortex
Gria2,Cortex
Gria3,Cortex
Pcsk1n,Cortex
Inpp5a,Cortex
Grb2,Cortex
Pde10a,Cortex
Ppp1r9a,Cortex
Necab1,Cortex
Nefh,Cortex
Pcdh17,Cortex
Ngef,Cortex
Ank1,Cortex
Lgi2,Cortex
Ksr1,Cortex
Sacs,Cortex
Sqstm1,Cortex
Arhgdib,Cortex
Sypl,Cortex
Celf2,Cortex
Hpca,Cortex
Rab27b,Cortex
Dek,Cortex
Smarce1,Cortex
Spata2l,Cortex
Pam,Cortex
Ahi1,Cortex
S100b,Cortex
Shank3,Cortex
H1f0,Cortex
Cbr3,Cortex
Cox17,Cortex
Arpp19,Cortex
Rbbp4,Cortex
Fabp7,Cortex
Cnksr2,Cortex
Prkcb,Cortex
Crym,Cortex
Car4,Cortex
Sgsm1,Cortex
Maob,Cortex
Sptb,Cortex
Calb1,Cortex
Pcp4l1,Cortex
Ybx1,Cortex
Grm2,Cortex
H2afj,Cortex
Hist1h4b,Cortex
Hist1h4c,Cortex
Hist1h4d,Cortex
Hist1h4f,Cortex
Hist1h4h,Cortex
Hist1h4j,Cortex
Hist1h4k,Cortex
Hist1h4m,Cortex
Hist1h4n,Cortex
Hist4h4,Cortex
Opalin,Cortex
Itpr1,Cortex
Ctnna3,Cortex
Hist1h1e,Cortex
Dagla,Cortex
Hist1h1b,Cortex
Syt12,Cortex
Nefm,Cortex
Gad2,Cortex
Ewsr1,Cortex
Phkb,Cortex
Scg5,Cortex
Hist1h2bm,Cortex
Hist2h2bb,Cortex
Gtf2i,Cortex
Lyn,Cortex
Wdr82,Cortex
Ephb2,Cortex
Hist1h1d,Cortex
Nudt11,Cortex
Nefl,Cortex
Prepl,Cortex
Fam63a,Cortex
Plxna1,Cortex
Slc7a11,Cortex
Limd2,Cortex
Isoc1,Cortex
Tmem55a,Cortex
Hnrnpab,Cortex
Khdrbs1,Cortex
Hdgfrp3,Cortex
Mprip,Cortex
H13,Cortex
Anp32e,Cortex
Scg3,Cortex
Sf3b5,Cortex
Car8,Cortex
Ddc,Cortex
Srsf6,Cortex
Hn1l,Cortex
Kctd8,Cortex
Ddah2,Cortex
Tceal5,Cortex
Ptprn,Cortex
Gria1,Cortex
Pbx1,Cortex
Hnrnpa1,Cortex
Tceal3,Cortex
Ehd1,Cortex
Ilf3,Cortex
Dgkz,Cortex
Fam169a,Cortex
Cpne3,Cortex
Safb,Cortex
Rps6ka2,Cortex
Tceal6,Cortex
Abhd16a,Cortex
Atp1b3,Cortex
Apip,Cortex
Clic1,Cortex
Ptprn2,Cortex
A230065H16Rik,Cortex
Tmem163,Cortex
Mlc1,Cortex
Cdc42ep2,Cortex
Lpgat1,Cortex
Nono,Cortex
H2afy,Cortex
