,Occurences
cellular process,227
localization,76
signaling,17
developmental process,69
biological adhesion,12
biological regulation,183
response to stimulus,72
metabolic process,100
behavior,19
multicellular organismal process,43
biological process involved in interspecies interaction between organisms,11
immune system process,13
locomotion,11
detoxification,1
growth,6
rhythmic process,6
reproductive process,8
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
