Uniprot Entry,Brain Part
Grid2,Cortex_Subplate
Strn,Cortex_Subplate
Hopx,Cortex_Subplate
Chn2,Cortex_Subplate
Cdc42ep4,Cortex_Subplate
Sncg,Cortex_Subplate
Ppp3cc,Cortex_Subplate
Asph,Cortex_Subplate
Syt2,Cortex_Subplate
Gng4,Cortex_Subplate
Calb2,Cortex_Subplate
Cyld,Cortex_Subplate
Bcr,Cortex_Subplate
Kcnb1,Cortex_Subplate
Mesdc2,Cortex_Subplate
Pde1b,Cortex_Subplate
BC026585,Cortex_Subplate
Cadps2,Cortex_Subplate
Grm3,Cortex_Subplate
Hpcal4,Cortex_Subplate
Cpne6,Cortex_Subplate
Vim,Cortex_Subplate
Lrrtm1,Cortex_Subplate
Adcy5,Cortex_Subplate
Arpc5,Cortex_Subplate
Hcn2,Cortex_Subplate
Gpsm1,Cortex_Subplate
Cacna1a,Cortex_Subplate
Akap2,Cortex_Subplate
Cpne4,Cortex_Subplate
Cast,Cortex_Subplate
Plcl1,Cortex_Subplate
Pde1a,Cortex_Subplate
Dffa,Cortex_Subplate
Prkca,Cortex_Subplate
Actn1,Cortex_Subplate
Slc12a2,Cortex_Subplate
Hpcal1,Cortex_Subplate
Slc1a3,Cortex_Subplate
0610007P14Rik,Cortex_Subplate
Necab2,Cortex_Subplate
Rdh11,Cortex_Subplate
Vat1,Cortex_Subplate
Gnal,Cortex_Subplate
Elmo2,Cortex_Subplate
Grin2b,Cortex_Subplate
Dgkb,Cortex_Subplate
Kcnip4,Cortex_Subplate
Lgi3,Cortex_Subplate
Gpc6,Cortex_Subplate
Gpr37l1,Cortex_Subplate
S1pr1,Cortex_Subplate
Msn,Cortex_Subplate
Vamp1,Cortex_Subplate
Fam81a,Cortex_Subplate
Ppp1ca,Cortex_Subplate
Ampd2,Cortex_Subplate
Gng7,Cortex_Subplate
Ccdc136,Cortex_Subplate
Itpka,Cortex_Subplate
Atp2b4,Cortex_Subplate
Cacng8,Cortex_Subplate
Hist1h4a,Cortex_Subplate
Hist1h4i,Cortex_Subplate
Hist2h4,Cortex_Subplate
H2afv,Cortex_Subplate
Hist1h2al,Cortex_Subplate
Selm,Cortex_Subplate
Mpp3,Cortex_Subplate
Shisa7,Cortex_Subplate
Tiam2,Cortex_Subplate
Vat1l,Cortex_Subplate
D430041D05Rik,Cortex_Subplate
Epha4,Cortex_Subplate
Synpo,Cortex_Subplate
Arhgap26,Cortex_Subplate
Phactr1,Cortex_Subplate
Nap1l5,Cortex_Subplate
Camk4,Cortex_Subplate
Scg2,Cortex_Subplate
Fbxl16,Cortex_Subplate
