,Occurences
cellular process,216
localization,73
signaling,16
developmental process,66
biological adhesion,10
biological regulation,178
behavior,21
metabolic process,91
response to stimulus,69
multicellular organismal process,43
biological process involved in interspecies interaction between organisms,12
immune system process,14
locomotion,11
detoxification,1
growth,6
rhythmic process,6
reproductive process,7
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
