Uniprot Entry,Brain Part
Fam107b,Hypothalamus
Strn,Hypothalamus
Hopx,Hypothalamus
Chn2,Hypothalamus
Rps6ka1,Hypothalamus
Cdc42ep4,Hypothalamus
Sncg,Hypothalamus
Asph,Hypothalamus
Syt2,Hypothalamus
Gng4,Hypothalamus
Calb2,Hypothalamus
Cyld,Hypothalamus
Bcr,Hypothalamus
Mesdc2,Hypothalamus
Baiap3,Hypothalamus
Pde1b,Hypothalamus
BC026585,Hypothalamus
Cadps2,Hypothalamus
Grm3,Hypothalamus
Hpcal4,Hypothalamus
Cpne6,Hypothalamus
Vim,Hypothalamus
Adcy5,Hypothalamus
Arpc5,Hypothalamus
Hcn2,Hypothalamus
Gpsm1,Hypothalamus
Cdc42ep1,Hypothalamus
Akap2,Hypothalamus
Cpne4,Hypothalamus
Cast,Hypothalamus
Plcl1,Hypothalamus
Pde1a,Hypothalamus
Dffa,Hypothalamus
Prkca,Hypothalamus
Actn1,Hypothalamus
Slc12a2,Hypothalamus
Hpcal1,Hypothalamus
Slc1a3,Hypothalamus
0610007P14Rik,Hypothalamus
Necab2,Hypothalamus
Rdh11,Hypothalamus
Vat1,Hypothalamus
Gnal,Hypothalamus
Elmo2,Hypothalamus
Grin2b,Hypothalamus
Dgkb,Hypothalamus
Kcnip4,Hypothalamus
Lgi3,Hypothalamus
Gpr37l1,Hypothalamus
S1pr1,Hypothalamus
Msn,Hypothalamus
Gpc4,Hypothalamus
Vamp1,Hypothalamus
Ppp1ca,Hypothalamus
Ampd2,Hypothalamus
Gng7,Hypothalamus
Ccdc136,Hypothalamus
Atp2b4,Hypothalamus
Cacng8,Hypothalamus
Hist1h4a,Hypothalamus
Hist1h4i,Hypothalamus
Hist2h4,Hypothalamus
H2afv,Hypothalamus
Hist1h2al,Hypothalamus
Selm,Hypothalamus
Mpp3,Hypothalamus
AW551984,Hypothalamus
Bcar1,Hypothalamus
Vat1l,Hypothalamus
Epha4,Hypothalamus
Synpo,Hypothalamus
Hapln2,Hypothalamus
Itih3,Hypothalamus
Arhgap26,Hypothalamus
Phactr1,Hypothalamus
Dusp15,Hypothalamus
Nap1l5,Hypothalamus
Camk4,Hypothalamus
Scg2,Hypothalamus
Fbxl16,Hypothalamus
Pcdh1,Hypothalamus
Dgki,Hypothalamus
Cyp2j9,Hypothalamus
Scgn,Hypothalamus
Gaa,Hypothalamus
Hn1,Hypothalamus
Impact,Hypothalamus
Hap1,Hypothalamus
Ppp1r1b,Hypothalamus
Lxn,Hypothalamus
Gria2,Hypothalamus
Gria3,Hypothalamus
Pcsk1n,Hypothalamus
Inpp5a,Hypothalamus
Grb2,Hypothalamus
Pde10a,Hypothalamus
Ppp1r9a,Hypothalamus
Necab1,Hypothalamus
Nefh,Hypothalamus
Pcdh17,Hypothalamus
Ngef,Hypothalamus
Ank1,Hypothalamus
Lgi2,Hypothalamus
Nt5c1a,Hypothalamus
Sqstm1,Hypothalamus
Arhgdib,Hypothalamus
Sypl,Hypothalamus
Celf2,Hypothalamus
Hpca,Hypothalamus
Gprasp2,Hypothalamus
Rab27b,Hypothalamus
Dek,Hypothalamus
Smarce1,Hypothalamus
Pam,Hypothalamus
Ahi1,Hypothalamus
S100b,Hypothalamus
Shank3,Hypothalamus
H1f0,Hypothalamus
Cbr3,Hypothalamus
Pomc,Hypothalamus
Cox17,Hypothalamus
Psd2,Hypothalamus
Arpp19,Hypothalamus
Rbbp4,Hypothalamus
Fabp7,Hypothalamus
Cnksr2,Hypothalamus
Prkcb,Hypothalamus
Crym,Hypothalamus
Sgsm1,Hypothalamus
Maob,Hypothalamus
Sptb,Hypothalamus
Calb1,Hypothalamus
Pcp4l1,Hypothalamus
Ybx1,Hypothalamus
Grm2,Hypothalamus
H2afj,Hypothalamus
Hist1h4b,Hypothalamus
Hist1h4c,Hypothalamus
Hist1h4d,Hypothalamus
Hist1h4f,Hypothalamus
Hist1h4h,Hypothalamus
Hist1h4j,Hypothalamus
Hist1h4k,Hypothalamus
Hist1h4m,Hypothalamus
Hist1h4n,Hypothalamus
Hist4h4,Hypothalamus
Opalin,Hypothalamus
Hist1h1e,Hypothalamus
Hist1h1b,Hypothalamus
Syt12,Hypothalamus
Nefm,Hypothalamus
Gad2,Hypothalamus
Ewsr1,Hypothalamus
Phkb,Hypothalamus
Scg5,Hypothalamus
Hist1h2bm,Hypothalamus
Hist2h2bb,Hypothalamus
Gtf2i,Hypothalamus
Wdr82,Hypothalamus
Ephb2,Hypothalamus
Hist1h1d,Hypothalamus
Nqo1,Hypothalamus
Mgrn1,Hypothalamus
Nudt11,Hypothalamus
Nefl,Hypothalamus
Prepl,Hypothalamus
Plxna1,Hypothalamus
Slc7a11,Hypothalamus
