,Occurences
cellular process,219
behavior,18
developmental process,65
biological regulation,174
metabolic process,98
response to stimulus,70
localization,70
signaling,13
multicellular organismal process,41
biological process involved in interspecies interaction between organisms,13
immune system process,16
locomotion,12
biological adhesion,11
detoxification,1
growth,6
rhythmic process,6
reproductive process,8
biological process involved in intraspecies interaction between organisms,3
pigmentation,1
biomineralization,1
multi-organism process,1
