Uniprot Entry,Brain Part
Grid2,Medulla
Fam107b,Medulla
Pcp2,Medulla
Atp2a3,Medulla
Cep76,Medulla
Slc1a6,Medulla
Strn,Medulla
Dao,Medulla
Hopx,Medulla
Chn2,Medulla
Rps6ka1,Medulla
Cdc42ep4,Medulla
Cbln3,Medulla
Esyt1,Medulla
Sncg,Medulla
Asph,Medulla
Syt2,Medulla
Gng4,Medulla
Calb2,Medulla
Kank4,Medulla
Bcr,Medulla
Mesdc2,Medulla
Baiap3,Medulla
Pde1b,Medulla
BC026585,Medulla
Mtss1,Medulla
Cadps2,Medulla
Grm3,Medulla
Hpcal4,Medulla
Plekhd1,Medulla
Cpne6,Medulla
Kcnc3,Medulla
Vim,Medulla
Arpc5,Medulla
Hcn2,Medulla
Gpsm1,Medulla
Cdc42ep1,Medulla
Cacna1a,Medulla
Akap2,Medulla
Cpne4,Medulla
Prkg1,Medulla
Cast,Medulla
Plcl1,Medulla
Dffa,Medulla
Prkca,Medulla
Actn1,Medulla
Slc12a2,Medulla
Hpcal1,Medulla
Homer3,Medulla
Slc1a3,Medulla
Necab2,Medulla
Rdh11,Medulla
Vat1,Medulla
Elmo2,Medulla
Grin2b,Medulla
Kcnip4,Medulla
Lgi3,Medulla
Gpr37l1,Medulla
S1pr1,Medulla
Msn,Medulla
Gpc4,Medulla
Vamp1,Medulla
Ppp1ca,Medulla
Ampd2,Medulla
Gng7,Medulla
Ccdc136,Medulla
Itpka,Medulla
Atp2b4,Medulla
Cacng8,Medulla
Hist1h4a,Medulla
Hist1h4i,Medulla
Hist2h4,Medulla
H2afv,Medulla
Hist1h2al,Medulla
Selm,Medulla
Mpp3,Medulla
AW551984,Medulla
Bcar1,Medulla
Vat1l,Medulla
Epha4,Medulla
Hapln2,Medulla
Itih3,Medulla
Arhgap26,Medulla
Dusp15,Medulla
Nap1l5,Medulla
Camk4,Medulla
Scg2,Medulla
Fbxl16,Medulla
Gaa,Medulla
Shisa6,Medulla
Hn1,Medulla
Rgs8,Medulla
Impact,Medulla
Hap1,Medulla
Ppp1r1b,Medulla
Lxn,Medulla
Inf2,Medulla
Gria2,Medulla
Gria3,Medulla
Pcsk1n,Medulla
Inpp5a,Medulla
Grb2,Medulla
Ppp1r17,Medulla
Ppp1r9a,Medulla
Nefh,Medulla
Ank1,Medulla
Lgi2,Medulla
Git2,Medulla
Sacs,Medulla
Nt5c1a,Medulla
Sqstm1,Medulla
Arhgdib,Medulla
Sypl,Medulla
Celf2,Medulla
Nfya,Medulla
Hpca,Medulla
Gprasp2,Medulla
Rab27b,Medulla
Dek,Medulla
Smarce1,Medulla
Pam,Medulla
Ahi1,Medulla
S100b,Medulla
Shank3,Medulla
H1f0,Medulla
Cbr3,Medulla
Cox17,Medulla
Psd2,Medulla
Arpp19,Medulla
Rbbp4,Medulla
Fabp7,Medulla
Prkcb,Medulla
Crym,Medulla
Car4,Medulla
Sgsm1,Medulla
Maob,Medulla
Sptb,Medulla
Calb1,Medulla
Pcp4l1,Medulla
Ybx1,Medulla
H2afj,Medulla
Cherp,Medulla
Hist1h4b,Medulla
Hist1h4c,Medulla
Hist1h4d,Medulla
Hist1h4f,Medulla
Hist1h4h,Medulla
Hist1h4j,Medulla
Hist1h4k,Medulla
Hist1h4m,Medulla
Hist1h4n,Medulla
Hist4h4,Medulla
Opalin,Medulla
Itpr1,Medulla
Ctnna3,Medulla
Hist1h1e,Medulla
Dagla,Medulla
Hist1h1b,Medulla
Syt12,Medulla
Glrb,Medulla
Nefm,Medulla
Gad2,Medulla
Ewsr1,Medulla
Rims4,Medulla
Phkb,Medulla
Scg5,Medulla
Hist1h2bm,Medulla
Hist2h2bb,Medulla
Gtf2i,Medulla
Ephb2,Medulla
Hist1h1d,Medulla
Nqo1,Medulla
Nudt11,Medulla
Nefl,Medulla
Prepl,Medulla
Fam63a,Medulla
Plxna1,Medulla
Slc7a11,Medulla
Isoc1,Medulla
Hebp2,Medulla
Hnrnpab,Medulla
Slc19a2,Medulla
Khdrbs1,Medulla
Hdgfrp3,Medulla
Mprip,Medulla
H13,Medulla
Anp32e,Medulla
Scg3,Medulla
Sf3b5,Medulla
Car8,Medulla
Ddc,Medulla
Srsf6,Medulla
Hn1l,Medulla
Kctd8,Medulla
Ddah2,Medulla
Tceal5,Medulla
Ptprn,Medulla
Gria1,Medulla
Pbx1,Medulla
Hnrnpa1,Medulla
Tceal3,Medulla
Ehd1,Medulla
Ilf3,Medulla
Dgkz,Medulla
Fam169a,Medulla
Cpne3,Medulla
Safb,Medulla
Rps6ka2,Medulla
Tceal6,Medulla
Abhd16a,Medulla
Atp1b3,Medulla
Apip,Medulla
Clic1,Medulla
Ptprn2,Medulla
A230065H16Rik,Medulla
Tmem163,Medulla
Mlc1,Medulla
Cdc42ep2,Medulla
Lpgat1,Medulla
Nono,Medulla
H2afy,Medulla
Zfp385a,Medulla
Cacng2,Medulla
Stim1,Medulla
Mecp2,Medulla
Entpd2,Medulla
Fubp1,Medulla
Gm6750,Medulla
Gm7931,Medulla
Hmgn2,Medulla
Hist2h2aa1,Medulla
Hist2h2aa2,Medulla
Eps15,Medulla
Nudt10,Medulla
Ebp,Medulla
H2afz,Medulla
Acot11,Medulla
Actr3b,Medulla
Akap5,Medulla
Arhgef33,Medulla
Cbx1,Medulla
Ctbp2,Medulla
Dner,Medulla
E330009J07Rik,Medulla
Epb4.1,Medulla
Fat2,Medulla
Flna,Medulla
Gria4,Medulla
Grm1,Medulla
Hmgb2,Medulla
Hmgn3,Medulla
Isoc2a,Medulla
LOC101055828,Medulla
LOC637733,Medulla
Parva,Medulla
Pcif1,Medulla
Pde2a,Medulla
Plcb4,Medulla
Ppp1r16b,Medulla
Prex1,Medulla
Prrt1,Medulla
Prune2,Medulla
Psip1,Medulla
Rad21,Medulla
Rmdn3,Medulla
Serpinh1,Medulla
Shank1,Medulla
Shf,Medulla
Slc14a1,Medulla
Spag1,Medulla
Sptb,Medulla
Srgap2,Medulla
Srsf10,Medulla
Tuba8,Medulla
Vimp,Medulla
Lmnb1,Medulla
Rbm3,Medulla
Hdgf,Medulla
Hist1h1a,Medulla
Hist3h2bb-ps,Medulla
Hist3h2ba,Medulla
Hist2h2ac,Medulla
