,Occurences
cellular process,230
localization,79
signaling,17
developmental process,74
biological adhesion,14
biological regulation,185
response to stimulus,71
metabolic process,98
behavior,15
multicellular organismal process,39
locomotion,12
immune system process,14
detoxification,1
growth,7
biological process involved in interspecies interaction between organisms,12
rhythmic process,5
reproductive process,11
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
