Uniprot Entry,Brain Part
Grid2,Mid_Brain
Fam107b,Mid_Brain
Pcp2,Mid_Brain
Slc1a6,Mid_Brain
Strn,Mid_Brain
Dao,Mid_Brain
Hopx,Mid_Brain
Rps6ka1,Mid_Brain
Cdc42ep4,Mid_Brain
Esyt1,Mid_Brain
Sncg,Mid_Brain
Ppp3cc,Mid_Brain
Asph,Mid_Brain
Syt2,Mid_Brain
Gng4,Mid_Brain
Calb2,Mid_Brain
Kank4,Mid_Brain
Cyld,Mid_Brain
Bcr,Mid_Brain
Mesdc2,Mid_Brain
Baiap3,Mid_Brain
Pde1b,Mid_Brain
BC026585,Mid_Brain
Cadps2,Mid_Brain
Grm3,Mid_Brain
Hpcal4,Mid_Brain
Cpne6,Mid_Brain
Kcnc3,Mid_Brain
Vim,Mid_Brain
Adcy5,Mid_Brain
Arpc5,Mid_Brain
Hcn2,Mid_Brain
Gpsm1,Mid_Brain
Cdc42ep1,Mid_Brain
Cacna1a,Mid_Brain
Akap2,Mid_Brain
Cpne4,Mid_Brain
Cast,Mid_Brain
Plcl1,Mid_Brain
Pde1a,Mid_Brain
Dffa,Mid_Brain
Prkca,Mid_Brain
Actn1,Mid_Brain
Slc12a2,Mid_Brain
Hpcal1,Mid_Brain
Homer3,Mid_Brain
Slc1a3,Mid_Brain
Necab2,Mid_Brain
Rdh11,Mid_Brain
Vat1,Mid_Brain
Gnal,Mid_Brain
Elmo2,Mid_Brain
Grin2b,Mid_Brain
Dgkb,Mid_Brain
Kcnip4,Mid_Brain
Lgi3,Mid_Brain
Gpr37l1,Mid_Brain
S1pr1,Mid_Brain
Msn,Mid_Brain
Gpc4,Mid_Brain
Vamp1,Mid_Brain
Ppp1ca,Mid_Brain
Ampd2,Mid_Brain
Gng7,Mid_Brain
Ccdc136,Mid_Brain
Itpka,Mid_Brain
Atp2b4,Mid_Brain
Cacng8,Mid_Brain
Hist1h4a,Mid_Brain
Hist1h4i,Mid_Brain
Hist2h4,Mid_Brain
H2afv,Mid_Brain
Hist1h2al,Mid_Brain
Selm,Mid_Brain
Mpp3,Mid_Brain
Shisa7,Mid_Brain
AW551984,Mid_Brain
Bcar1,Mid_Brain
Vat1l,Mid_Brain
D430041D05Rik,Mid_Brain
Epha4,Mid_Brain
Synpo,Mid_Brain
Hapln2,Mid_Brain
Itih3,Mid_Brain
Arhgap26,Mid_Brain
Phactr1,Mid_Brain
Dusp15,Mid_Brain
Nap1l5,Mid_Brain
Camk4,Mid_Brain
Scg2,Mid_Brain
Fbxl16,Mid_Brain
Pcdh1,Mid_Brain
Dgki,Mid_Brain
Cyp2j9,Mid_Brain
Gaa,Mid_Brain
Shisa6,Mid_Brain
Hn1,Mid_Brain
Impact,Mid_Brain
Hap1,Mid_Brain
Ppp1r1b,Mid_Brain
Lxn,Mid_Brain
Inf2,Mid_Brain
Gria2,Mid_Brain
Gria3,Mid_Brain
Pcsk1n,Mid_Brain
Inpp5a,Mid_Brain
Grb2,Mid_Brain
Pde10a,Mid_Brain
Ppp1r9a,Mid_Brain
Nefh,Mid_Brain
Ngef,Mid_Brain
Ank1,Mid_Brain
Lgi2,Mid_Brain
Sacs,Mid_Brain
Nt5c1a,Mid_Brain
Sqstm1,Mid_Brain
Arhgdib,Mid_Brain
Sypl,Mid_Brain
Celf2,Mid_Brain
Hpca,Mid_Brain
Gprasp2,Mid_Brain
Rab27b,Mid_Brain
Dek,Mid_Brain
Smarce1,Mid_Brain
Pam,Mid_Brain
Ahi1,Mid_Brain
S100b,Mid_Brain
Shank3,Mid_Brain
H1f0,Mid_Brain
Cbr3,Mid_Brain
Cox17,Mid_Brain
Psd2,Mid_Brain
Arpp19,Mid_Brain
Rbbp4,Mid_Brain
Fabp7,Mid_Brain
Cnksr2,Mid_Brain
Prkcb,Mid_Brain
Crym,Mid_Brain
Car4,Mid_Brain
Sgsm1,Mid_Brain
Maob,Mid_Brain
Sptb,Mid_Brain
Calb1,Mid_Brain
Pcp4l1,Mid_Brain
Ybx1,Mid_Brain
Grm2,Mid_Brain
H2afj,Mid_Brain
Hist1h4b,Mid_Brain
Hist1h4c,Mid_Brain
Hist1h4d,Mid_Brain
Hist1h4f,Mid_Brain
Hist1h4h,Mid_Brain
Hist1h4j,Mid_Brain
Hist1h4k,Mid_Brain
Hist1h4m,Mid_Brain
Hist1h4n,Mid_Brain
Hist4h4,Mid_Brain
Opalin,Mid_Brain
Itpr1,Mid_Brain
Hist1h1e,Mid_Brain
Dagla,Mid_Brain
Hist1h1b,Mid_Brain
Syt12,Mid_Brain
Glrb,Mid_Brain
Nefm,Mid_Brain
Gad2,Mid_Brain
Ewsr1,Mid_Brain
Phkb,Mid_Brain
Scg5,Mid_Brain
Hist1h2bm,Mid_Brain
Hist2h2bb,Mid_Brain
Gtf2i,Mid_Brain
Lyn,Mid_Brain
Wdr82,Mid_Brain
Ephb2,Mid_Brain
Hist1h1d,Mid_Brain
Nudt11,Mid_Brain
Nefl,Mid_Brain
Prepl,Mid_Brain
Fam63a,Mid_Brain
Plxna1,Mid_Brain
Slc7a11,Mid_Brain
Isoc1,Mid_Brain
Hebp2,Mid_Brain
Hnrnpab,Mid_Brain
Khdrbs1,Mid_Brain
Hdgfrp3,Mid_Brain
Mprip,Mid_Brain
H13,Mid_Brain
Anp32e,Mid_Brain
Scg3,Mid_Brain
Sf3b5,Mid_Brain
Car8,Mid_Brain
Ddc,Mid_Brain
Srsf6,Mid_Brain
Hn1l,Mid_Brain
Kctd8,Mid_Brain
Ddah2,Mid_Brain
Tceal5,Mid_Brain
Ptprn,Mid_Brain
Gria1,Mid_Brain
Hnrnpa1,Mid_Brain
Tceal3,Mid_Brain
Ehd1,Mid_Brain
Ilf3,Mid_Brain
Fam169a,Mid_Brain
Cpne3,Mid_Brain
Safb,Mid_Brain
Rps6ka2,Mid_Brain
Tceal6,Mid_Brain
Abhd16a,Mid_Brain
Atp1b3,Mid_Brain
Apip,Mid_Brain
Clic1,Mid_Brain
Ptprn2,Mid_Brain
A230065H16Rik,Mid_Brain
Tmem163,Mid_Brain
Mlc1,Mid_Brain
Cdc42ep2,Mid_Brain
Lpgat1,Mid_Brain
Nono,Mid_Brain
H2afy,Mid_Brain
Snrnp27,Mid_Brain
Zfp385a,Mid_Brain
Cacng2,Mid_Brain
Actn2,Mid_Brain
Stim1,Mid_Brain
Mecp2,Mid_Brain
Entpd2,Mid_Brain
Fubp1,Mid_Brain
Gm6750,Mid_Brain
Gm7931,Mid_Brain
Hmgn2,Mid_Brain
Hist2h2aa1,Mid_Brain
Hist2h2aa2,Mid_Brain
Eps15,Mid_Brain
Nudt10,Mid_Brain
Ebp,Mid_Brain
H2afz,Mid_Brain
0610009B22Rik,Mid_Brain
Acot11,Mid_Brain
Actr3b,Mid_Brain
Akap5,Mid_Brain
Cbx1,Mid_Brain
Cdk19,Mid_Brain
Ctbp2,Mid_Brain
Dner,Mid_Brain
E330009J07Rik,Mid_Brain
Fat2,Mid_Brain
Flna,Mid_Brain
Gm17748,Mid_Brain
Gria4,Mid_Brain
Grm1,Mid_Brain
Hmgn3,Mid_Brain
Ildr2,Mid_Brain
Ipcef1,Mid_Brain
Isoc2a,Mid_Brain
LOC101055828,Mid_Brain
LOC637733,Mid_Brain
Parva,Mid_Brain
Pcif1,Mid_Brain
Pde2a,Mid_Brain
Plcb4,Mid_Brain
Plrg1,Mid_Brain
Ppp1r16b,Mid_Brain
Prex1,Mid_Brain
Prrt1,Mid_Brain
Prune2,Mid_Brain
Psip1,Mid_Brain
Rad21,Mid_Brain
Rmdn3,Mid_Brain
Serpinh1,Mid_Brain
Shank1,Mid_Brain
Slc14a1,Mid_Brain
Spag1,Mid_Brain
Sptb,Mid_Brain
Srgap2,Mid_Brain
Srsf10,Mid_Brain
Tuba8,Mid_Brain
Vimp,Mid_Brain
Lmnb1,Mid_Brain
Rbm3,Mid_Brain
Hdgf,Mid_Brain
Hist1h1a,Mid_Brain
Hist3h2bb-ps,Mid_Brain
Hist3h2ba,Mid_Brain
Hist2h2ac,Mid_Brain
