,Occurences
cellular process,238
localization,80
signaling,17
developmental process,74
biological adhesion,13
biological regulation,187
response to stimulus,73
metabolic process,104
behavior,19
multicellular organismal process,42
biological process involved in interspecies interaction between organisms,12
immune system process,15
locomotion,13
detoxification,1
growth,6
rhythmic process,5
reproductive process,11
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
