Uniprot Entry,Brain Part
Fam107b,Olfactory_Bulb
Pcp2,Olfactory_Bulb
Strn,Olfactory_Bulb
Hopx,Olfactory_Bulb
Chn2,Olfactory_Bulb
Cdc42ep4,Olfactory_Bulb
Sncg,Olfactory_Bulb
Ppp3cc,Olfactory_Bulb
Asph,Olfactory_Bulb
Syt2,Olfactory_Bulb
Gng4,Olfactory_Bulb
Omp,Olfactory_Bulb
Calb2,Olfactory_Bulb
Cyld,Olfactory_Bulb
Bcr,Olfactory_Bulb
Kcnb1,Olfactory_Bulb
Mesdc2,Olfactory_Bulb
Pde1b,Olfactory_Bulb
BC026585,Olfactory_Bulb
Cadps2,Olfactory_Bulb
Grm3,Olfactory_Bulb
Hpcal4,Olfactory_Bulb
Cpne6,Olfactory_Bulb
Vim,Olfactory_Bulb
Lrrtm1,Olfactory_Bulb
Adcy5,Olfactory_Bulb
Arpc5,Olfactory_Bulb
Hcn2,Olfactory_Bulb
Gpsm1,Olfactory_Bulb
Akap2,Olfactory_Bulb
Cpne4,Olfactory_Bulb
Plcl1,Olfactory_Bulb
Pde1a,Olfactory_Bulb
Dffa,Olfactory_Bulb
Prkca,Olfactory_Bulb
Actn1,Olfactory_Bulb
Slc12a2,Olfactory_Bulb
Hpcal1,Olfactory_Bulb
Homer3,Olfactory_Bulb
Slc1a3,Olfactory_Bulb
0610007P14Rik,Olfactory_Bulb
Necab2,Olfactory_Bulb
Rdh11,Olfactory_Bulb
Vat1,Olfactory_Bulb
Gnal,Olfactory_Bulb
Elmo2,Olfactory_Bulb
Grin2b,Olfactory_Bulb
Dgkb,Olfactory_Bulb
Kcnip4,Olfactory_Bulb
Lgi3,Olfactory_Bulb
Gpr37l1,Olfactory_Bulb
S1pr1,Olfactory_Bulb
Msn,Olfactory_Bulb
Gpc4,Olfactory_Bulb
Vamp1,Olfactory_Bulb
Fam81a,Olfactory_Bulb
Ppp1ca,Olfactory_Bulb
Ampd2,Olfactory_Bulb
Gng7,Olfactory_Bulb
Itpka,Olfactory_Bulb
Atp2b4,Olfactory_Bulb
Cacng8,Olfactory_Bulb
Hist1h4a,Olfactory_Bulb
Hist1h4i,Olfactory_Bulb
Hist2h4,Olfactory_Bulb
H2afv,Olfactory_Bulb
Hist1h2al,Olfactory_Bulb
Selm,Olfactory_Bulb
Mpp3,Olfactory_Bulb
Shisa7,Olfactory_Bulb
Tiam2,Olfactory_Bulb
Vat1l,Olfactory_Bulb
D430041D05Rik,Olfactory_Bulb
Epha4,Olfactory_Bulb
Synpo,Olfactory_Bulb
Hapln2,Olfactory_Bulb
Arhgap26,Olfactory_Bulb
Phactr1,Olfactory_Bulb
Dusp15,Olfactory_Bulb
Nap1l5,Olfactory_Bulb
Camk4,Olfactory_Bulb
Scg2,Olfactory_Bulb
Fbxl16,Olfactory_Bulb
Pcdh1,Olfactory_Bulb
Dgki,Olfactory_Bulb
Scgn,Olfactory_Bulb
Gaa,Olfactory_Bulb
Hn1,Olfactory_Bulb
Rgs8,Olfactory_Bulb
Impact,Olfactory_Bulb
Chrm4,Olfactory_Bulb
Hap1,Olfactory_Bulb
Ppp1r1b,Olfactory_Bulb
Lxn,Olfactory_Bulb
Inf2,Olfactory_Bulb
Gria2,Olfactory_Bulb
Gria3,Olfactory_Bulb
Pcsk1n,Olfactory_Bulb
Inpp5a,Olfactory_Bulb
Grb2,Olfactory_Bulb
Pde10a,Olfactory_Bulb
Ppp1r9a,Olfactory_Bulb
Necab1,Olfactory_Bulb
Nefh,Olfactory_Bulb
Ngef,Olfactory_Bulb
Ank1,Olfactory_Bulb
Lgi2,Olfactory_Bulb
Ksr1,Olfactory_Bulb
Sqstm1,Olfactory_Bulb
Arhgdib,Olfactory_Bulb
Sypl,Olfactory_Bulb
Celf2,Olfactory_Bulb
Nfya,Olfactory_Bulb
Hpca,Olfactory_Bulb
Rab27b,Olfactory_Bulb
Dek,Olfactory_Bulb
Smarce1,Olfactory_Bulb
Spata2l,Olfactory_Bulb
Pam,Olfactory_Bulb
Ahi1,Olfactory_Bulb
S100b,Olfactory_Bulb
Shank3,Olfactory_Bulb
H1f0,Olfactory_Bulb
Cbr3,Olfactory_Bulb
Pomc,Olfactory_Bulb
Cox17,Olfactory_Bulb
Arpp19,Olfactory_Bulb
Rbbp4,Olfactory_Bulb
Fabp7,Olfactory_Bulb
Cnksr2,Olfactory_Bulb
Prkcb,Olfactory_Bulb
Crym,Olfactory_Bulb
Car4,Olfactory_Bulb
Sgsm1,Olfactory_Bulb
Maob,Olfactory_Bulb
Sptb,Olfactory_Bulb
Calb1,Olfactory_Bulb
Pcp4l1,Olfactory_Bulb
