,Occurences
cellular process,230
response to stimulus,76
metabolic process,102
localization,76
developmental process,69
biological adhesion,10
biological regulation,189
behavior,21
signaling,16
multicellular organismal process,45
biological process involved in interspecies interaction between organisms,13
immune system process,15
locomotion,11
detoxification,1
growth,6
rhythmic process,6
reproductive process,7
biological process involved in intraspecies interaction between organisms,3
pigmentation,1
biomineralization,1
multi-organism process,1
