Uniprot Entry,Brain Part
Slc1a6,Pallidum
Strn,Pallidum
Hopx,Pallidum
Chn2,Pallidum
Cdc42ep4,Pallidum
Sncg,Pallidum
Asph,Pallidum
Syt2,Pallidum
Gng4,Pallidum
Calb2,Pallidum
Cyld,Pallidum
Bcr,Pallidum
Mesdc2,Pallidum
Pde1b,Pallidum
BC026585,Pallidum
Mtss1,Pallidum
Cadps2,Pallidum
Grm3,Pallidum
Hpcal4,Pallidum
Cpne6,Pallidum
Vim,Pallidum
Adcy5,Pallidum
Arpc5,Pallidum
Hcn2,Pallidum
Gpsm1,Pallidum
Cdc42ep1,Pallidum
Cacna1a,Pallidum
Akap2,Pallidum
Cpne4,Pallidum
Cast,Pallidum
Plcl1,Pallidum
Pde1a,Pallidum
Dffa,Pallidum
Prkca,Pallidum
Actn1,Pallidum
Slc12a2,Pallidum
Hpcal1,Pallidum
Homer3,Pallidum
Slc1a3,Pallidum
Necab2,Pallidum
Rdh11,Pallidum
Vat1,Pallidum
Gnal,Pallidum
Elmo2,Pallidum
Grin2b,Pallidum
Dgkb,Pallidum
Kcnip4,Pallidum
Lgi3,Pallidum
Gpr37l1,Pallidum
S1pr1,Pallidum
Msn,Pallidum
Gpc4,Pallidum
Vamp1,Pallidum
Fam81a,Pallidum
Ppp1ca,Pallidum
Ampd2,Pallidum
Gng7,Pallidum
Ccdc136,Pallidum
Itpka,Pallidum
Atp2b4,Pallidum
Cacng8,Pallidum
Hist1h4a,Pallidum
Hist1h4i,Pallidum
Hist2h4,Pallidum
H2afv,Pallidum
Hist1h2al,Pallidum
Selm,Pallidum
Mpp3,Pallidum
Shisa7,Pallidum
Tiam2,Pallidum
AW551984,Pallidum
Vat1l,Pallidum
D430041D05Rik,Pallidum
Epha4,Pallidum
Synpo,Pallidum
Hapln2,Pallidum
Itih3,Pallidum
Arhgap26,Pallidum
Phactr1,Pallidum
Dusp15,Pallidum
Nap1l5,Pallidum
Camk4,Pallidum
Scg2,Pallidum
Fbxl16,Pallidum
Pcdh1,Pallidum
Dgki,Pallidum
Gaa,Pallidum
Hn1,Pallidum
Impact,Pallidum
Chrm4,Pallidum
Hap1,Pallidum
Ppp1r1b,Pallidum
Lxn,Pallidum
Inf2,Pallidum
Adcy1,Pallidum
Gria2,Pallidum
Gria3,Pallidum
Pcsk1n,Pallidum
Inpp5a,Pallidum
Grb2,Pallidum
Pde10a,Pallidum
Ppp1r9a,Pallidum
Necab1,Pallidum
Nefh,Pallidum
Ngef,Pallidum
Ank1,Pallidum
Lgi2,Pallidum
Sqstm1,Pallidum
Arhgdib,Pallidum
Sypl,Pallidum
Celf2,Pallidum
Hpca,Pallidum
Gprasp2,Pallidum
Rab27b,Pallidum
Dek,Pallidum
Smarce1,Pallidum
Spata2l,Pallidum
Pam,Pallidum
Ahi1,Pallidum
S100b,Pallidum
Shank3,Pallidum
H1f0,Pallidum
Cbr3,Pallidum
Cox17,Pallidum
Arpp19,Pallidum
Rbbp4,Pallidum
Fabp7,Pallidum
Cnksr2,Pallidum
Prkcb,Pallidum
Crym,Pallidum
Car4,Pallidum
Sgsm1,Pallidum
Maob,Pallidum
Sptb,Pallidum
Calb1,Pallidum
Pcp4l1,Pallidum
Ybx1,Pallidum
Grm2,Pallidum
H2afj,Pallidum
Hist1h4b,Pallidum
Hist1h4c,Pallidum
Hist1h4d,Pallidum
Hist1h4f,Pallidum
Hist1h4h,Pallidum
Hist1h4j,Pallidum
Hist1h4k,Pallidum
Hist1h4m,Pallidum
Hist1h4n,Pallidum
Hist4h4,Pallidum
Opalin,Pallidum
Itpr1,Pallidum
Hist1h1e,Pallidum
Hist1h1b,Pallidum
Syt12,Pallidum
Nefm,Pallidum
Gad2,Pallidum
Ewsr1,Pallidum
Phkb,Pallidum
Scg5,Pallidum
Hist1h2bm,Pallidum
Hist2h2bb,Pallidum
Gtf2i,Pallidum
Wdr82,Pallidum
Hist1h1d,Pallidum
Nudt11,Pallidum
Nefl,Pallidum
Prepl,Pallidum
Fam63a,Pallidum
Plxna1,Pallidum
Slc7a11,Pallidum
Limd2,Pallidum
Isoc1,Pallidum
Hebp2,Pallidum
Hnrnpab,Pallidum
Khdrbs1,Pallidum
Hdgfrp3,Pallidum
H13,Pallidum
Anp32e,Pallidum
Scg3,Pallidum
Sf3b5,Pallidum
Ddc,Pallidum
Srsf6,Pallidum
Hn1l,Pallidum
Kctd8,Pallidum
Ddah2,Pallidum
Tceal5,Pallidum
Ptprn,Pallidum
Gria1,Pallidum
Itpr3,Pallidum
Hnrnpa1,Pallidum
Tceal3,Pallidum
Ehd1,Pallidum
Ilf3,Pallidum
Dgkz,Pallidum
Fam169a,Pallidum
Cpne3,Pallidum
Safb,Pallidum
Rps6ka2,Pallidum
Tceal6,Pallidum
Abhd16a,Pallidum
Atp1b3,Pallidum
Apip,Pallidum
Clic1,Pallidum
Ptprn2,Pallidum
A230065H16Rik,Pallidum
Tmem163,Pallidum
Mlc1,Pallidum
Cdc42ep2,Pallidum
Lpgat1,Pallidum
Slc6a3,Pallidum
Nono,Pallidum
H2afy,Pallidum
Cacng2,Pallidum
Actn2,Pallidum
Th,Pallidum
Stim1,Pallidum
Mecp2,Pallidum
Entpd2,Pallidum
Fubp1,Pallidum
Gm6750,Pallidum
Gm7931,Pallidum
Hmgn2,Pallidum
Hist2h2aa1,Pallidum
Hist2h2aa2,Pallidum
Eps15,Pallidum
Nudt10,Pallidum
Ebp,Pallidum
H2afz,Pallidum
0610009B22Rik,Pallidum
Acot11,Pallidum
Actr3b,Pallidum
Akap5,Pallidum
Ankrd63,Pallidum
Cbx1,Pallidum
E330009J07Rik,Pallidum
Fat2,Pallidum
Flna,Pallidum
Gria4,Pallidum
Hmgb2,Pallidum
Hmgn3,Pallidum
Ildr2,Pallidum
Ipcef1,Pallidum
Isoc2a,Pallidum
LOC101055828,Pallidum
LOC632329,Pallidum
LOC637733,Pallidum
Nsmf,Pallidum
Pde2a,Pallidum
Prex1,Pallidum
Prrt1,Pallidum
Psip1,Pallidum
Rmdn3,Pallidum
Shank1,Pallidum
Slc14a1,Pallidum
Sptb,Pallidum
Srgap2,Pallidum
Srsf10,Pallidum
Tuba8,Pallidum
Vimp,Pallidum
Lmnb1,Pallidum
Rbm3,Pallidum
Hdgf,Pallidum
Hist1h1a,Pallidum
Hist3h2bb-ps,Pallidum
Hist3h2ba,Pallidum
Hist2h2ac,Pallidum
