,Occurences
localization,70
cellular process,213
biological regulation,172
behavior,19
developmental process,64
metabolic process,89
response to stimulus,70
signaling,13
multicellular organismal process,40
biological process involved in interspecies interaction between organisms,11
immune system process,14
biological adhesion,11
locomotion,12
detoxification,1
growth,6
rhythmic process,6
reproductive process,8
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
