Uniprot Entry,Brain Part
Fam107b,Striatum
Strn,Striatum
Hopx,Striatum
Cdc42ep4,Striatum
Esyt1,Striatum
Sncg,Striatum
Ppp3cc,Striatum
Asph,Striatum
Syt2,Striatum
Gng4,Striatum
Omp,Striatum
Calb2,Striatum
Cyld,Striatum
Bcr,Striatum
Kcnb1,Striatum
Mesdc2,Striatum
Pde1b,Striatum
BC026585,Striatum
Cadps2,Striatum
Grm3,Striatum
Hpcal4,Striatum
Cpne6,Striatum
Vim,Striatum
Adcy5,Striatum
Arpc5,Striatum
Hcn2,Striatum
Gpsm1,Striatum
Cacna1a,Striatum
Cpne4,Striatum
Plcl1,Striatum
Pde1a,Striatum
Dffa,Striatum
Prkca,Striatum
Actn1,Striatum
Slc12a2,Striatum
Hpcal1,Striatum
Slc1a3,Striatum
0610007P14Rik,Striatum
Necab2,Striatum
Rdh11,Striatum
Vat1,Striatum
Gnal,Striatum
Elmo2,Striatum
Grin2b,Striatum
Dgkb,Striatum
Kcnip4,Striatum
Lgi3,Striatum
Gpr37l1,Striatum
S1pr1,Striatum
Msn,Striatum
Vamp1,Striatum
Ppp1ca,Striatum
Ampd2,Striatum
Gng7,Striatum
Ccdc136,Striatum
Itpka,Striatum
Atp2b4,Striatum
Cacng8,Striatum
Hist1h4a,Striatum
Hist1h4i,Striatum
Hist2h4,Striatum
H2afv,Striatum
Hist1h2al,Striatum
Selm,Striatum
Mpp3,Striatum
Shisa7,Striatum
Tiam2,Striatum
Bcar1,Striatum
Vat1l,Striatum
D430041D05Rik,Striatum
Epha4,Striatum
Synpo,Striatum
Arhgap26,Striatum
Phactr1,Striatum
Nap1l5,Striatum
Camk4,Striatum
Scg2,Striatum
Fbxl16,Striatum
Pcdh1,Striatum
Dgki,Striatum
Scgn,Striatum
Gaa,Striatum
Hn1,Striatum
Rgs8,Striatum
Impact,Striatum
Chrm4,Striatum
Hap1,Striatum
Ppp1r1b,Striatum
Lxn,Striatum
Inf2,Striatum
Adcy1,Striatum
Gria2,Striatum
Gria3,Striatum
Pcsk1n,Striatum
Inpp5a,Striatum
Grb2,Striatum
Pde10a,Striatum
Ppp1r9a,Striatum
Necab1,Striatum
Nefh,Striatum
Ngef,Striatum
Ank1,Striatum
Arhgdib,Striatum
Sypl,Striatum
Celf2,Striatum
Nfya,Striatum
Hpca,Striatum
Rab27b,Striatum
Dek,Striatum
Smarce1,Striatum
Spata2l,Striatum
Pam,Striatum
Ahi1,Striatum
S100b,Striatum
Shank3,Striatum
H1f0,Striatum
Cbr3,Striatum
Cox17,Striatum
Arpp19,Striatum
Rbbp4,Striatum
Fabp7,Striatum
Cnksr2,Striatum
Prkcb,Striatum
Crym,Striatum
Sgsm1,Striatum
Maob,Striatum
Sptb,Striatum
Calb1,Striatum
Pcp4l1,Striatum
Ybx1,Striatum
Grm2,Striatum
H2afj,Striatum
Hist1h4b,Striatum
Hist1h4c,Striatum
Hist1h4d,Striatum
Hist1h4f,Striatum
Hist1h4h,Striatum
Hist1h4j,Striatum
Hist1h4k,Striatum
Hist1h4m,Striatum
Hist1h4n,Striatum
Hist4h4,Striatum
Opalin,Striatum
Itpr1,Striatum
Meis2,Striatum
Hist1h1e,Striatum
Dagla,Striatum
Hist1h1b,Striatum
Syt12,Striatum
Nefm,Striatum
Gad2,Striatum
Ewsr1,Striatum
Scg5,Striatum
Hist1h2bm,Striatum
Hist2h2bb,Striatum
Gtf2i,Striatum
Lyn,Striatum
Wdr82,Striatum
