,Occurences
cellular process,213
behavior,20
developmental process,67
biological regulation,176
metabolic process,91
response to stimulus,72
localization,68
signaling,15
multicellular organismal process,43
biological process involved in interspecies interaction between organisms,12
immune system process,14
locomotion,12
biological adhesion,8
detoxification,1
growth,6
rhythmic process,5
reproductive process,8
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
