,Occurences
metabolic process,96
cellular process,223
biological regulation,181
localization,76
behavior,19
developmental process,67
response to stimulus,70
biological adhesion,9
signaling,16
multicellular organismal process,42
biological process involved in interspecies interaction between organisms,12
immune system process,14
locomotion,10
detoxification,1
growth,6
rhythmic process,7
reproductive process,8
biological process involved in intraspecies interaction between organisms,3
biomineralization,1
multi-organism process,1
