Uniprot Entry,Accession Name
P16305,P16305_MOUSE
O43424,O43424_MOUSE
Q2KI00,Q2KI00_MOUSE
B1AUH1,B1AUH1_MOUSE
O77696,O77696_MOUSE
D4A702,D4A702_MOUSE
A7E2V1,A7E2V1_MOUSE
O35544,O35544_MOUSE
O43815,O43815_MOUSE
O43610,O43610_MOUSE
A2V9Y8,A2V9Y8_MOUSE
Q78ZR5,Q78ZR5_MOUSE
F8QPL9,P52757_MOUSE
P18653,P18653_MOUSE
Q9H3Q1,Q9H3Q1_MOUSE
Q17QF9,Q17QF9_MOUSE
Q3U7R1,Q3U7R1_MOUSE
P33146,P33146_MOUSE
O76070,O76070_MOUSE
P48454,P48454_MOUSE
Q6NXR7,Q12797_MOUSE
B6ETT4,B6ETT4_MOUSE
P50150,P50150_MOUSE
P08523,P08523_MOUSE
P07090,P07090_MOUSE
A2XX73,A2XX73_MOUSE
Q5T7N3,Q5T7N3_MOUSE
Q1RMU2,Q1RMU2_MOUSE
F1LXF1,F1LXF1_MOUSE
O18868,O18868_MOUSE
P51432,P51432_MOUSE
A1L243,A1L243_MOUSE
H3BVI3,O94812_MOUSE
Q01061,Q01061_MOUSE
A0A0A6YWV6,A0A0A6YWV6_MOUSE
O43312,O43312_MOUSE
Q9NWK8,Q86UW7_MOUSE
P31422,P31422_MOUSE
P29104,P29104_MOUSE
A6NEE1,A6NEE1_MOUSE
O95741,O95741_MOUSE
Q01956,Q01956_MOUSE
P02543,P02543_MOUSE
A1A4H9,A1A4H9_MOUSE
O95622,O95622_MOUSE
O15511,O15511_MOUSE
O88703,O88703_MOUSE
Q6IR34,Q6IR34_MOUSE
A1A5P0,A1A5P0_MOUSE
Q99793,O00555_MOUSE
A8T6P4,A8T6P4_MOUSE
Q8BLR2,Q8BLR2_MOUSE
O77676,O77676_MOUSE
O15446,O15446_MOUSE
Q15111,Q15111_MOUSE
P14100,P14100_MOUSE
O00273,O00273_MOUSE
P04409,P04409_MOUSE
P05094,P05094_MOUSE
