Uniprot Entry,0,1,2,3,4,5,6,7,8,9
Q7TMM9,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P05213,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P16858,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
S4R257,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P63017,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q504P4,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
A3KGU7,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P56480,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q04447,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q03265,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3Z6F5,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P52480,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P17182,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q6PHC1,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P20152,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
