Uniprot Entry,Accession Name
P05064,['ALDOA_MOUSE']
P16125,['LDHB_MOUSE']
P60710,['ACTB_MOUSE']
P80316,['TCPE_MOUSE']
P68368,['TBA4A_MOUSE']
Q7TMM9,['TBB2A_MOUSE']
Q7TQF7,['AMPH_MOUSE']
P62897,['CYC_MOUSE']
Q64521,['GPDM_MOUSE']
P61979,['HNRPK_MOUSE']
O08709,['PRDX6_MOUSE']
P09671,['SODM_MOUSE']
P10649,['GSTM1_MOUSE']
Q63810,['CANB1_MOUSE']
P05213,['TBA1B_MOUSE']
P14211,['CALR_MOUSE']
P17183,['ENOG_MOUSE']
Q9ERD7,['TBB3_MOUSE']
Q9D6R2,['IDH3A_MOUSE']
P08553,['NFM_MOUSE']
P17751,['TPIS_MOUSE']
Q9CWS0,['DDAH1_MOUSE']
P17182,['ENOA_MOUSE']
Q9CWF2,['TBB2B_MOUSE']
P63028,['TCTP_MOUSE']
Q99KI0,['ACON_MOUSE']
Q61171,['PRDX2_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
P61982,['1433G_MOUSE']
P15105,['GLNA_MOUSE']
P08249,['MDHM_MOUSE']
P50516,['VATA_MOUSE']
Q05920,['PYC_MOUSE']
Q91WD5,['NDUS2_MOUSE']
P67778,['PHB_MOUSE']
Q9CZ13,['QCR1_MOUSE']
P27773,['PDIA3_MOUSE']
Q99LC3,['NDUAA_MOUSE']
P32848,['PRVA_MOUSE']
P63101,['1433Z_MOUSE']
P20029,['GRP78_MOUSE']
P46460,['NSF_MOUSE']
P12658,['CALB1_MOUSE']
P30275,['KCRU_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
P08551,['NFL_MOUSE']
P05063,['ALDOC_MOUSE']
O08553,['DPYL2_MOUSE']
Q3UB69,['ATPB_MOUSE']
P48036,['ANXA5_MOUSE']
Q3UGM0,['HSP7C_MOUSE']
P12787,['COX5A_MOUSE']
Q9D7X3,['DUS3_MOUSE']
Q03265,['ATPA_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P80314,['TCPB_MOUSE']
Q8VHL1,['SETD7_MOUSE']
P19246,['NFH_MOUSE']
Q9DBJ1,['PGAM1_MOUSE']
P53810,['PIPNA_MOUSE']
P60487,['PLPP_MOUSE']
Q9CZC8,['SCRN1_MOUSE']
Q08331,['CALB2_MOUSE']
P08228,['SODC_MOUSE']
Q9R0Q7,['TEBP_MOUSE']
Q04447,['KCRB_MOUSE']
P46660,['AINX_MOUSE']
Q9CY33,['TBB5_MOUSE']
P57759,['ERP29_MOUSE']
P16546,['SPTN1_MOUSE']
Q6PIC6,['AT1A3_MOUSE']
Q6PIE5,['AT1A2_MOUSE']
Q60932,['VDAC1_MOUSE']
Q62261,['SPTB2_MOUSE']
Q8VDN2,['AT1A1_MOUSE']
O08599,['STXB1_MOUSE']
Q68FD5,['CLH1_MOUSE']
P11881,['ITPR1_MOUSE']
Q8C8R3,['ANK2_MOUSE']
O88935,['SYN1_MOUSE']
P14873,['MAP1B_MOUSE']
P60202,['MYPR_MOUSE']
Q9CWB1,['KPYM_MOUSE']
P26645,['MARCS_MOUSE']
Q61360,['DYN1_MOUSE']
P07901,['HS90A_MOUSE']
P11499,['HS90B_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
Q02053,['UBA1_MOUSE']
P20357,['MTAP2_MOUSE']
P28663,['SNAB_MOUSE']
P63268,['ACTH_MOUSE']
P10853,['H2B1F_MOUSE']
P68372,['TBB4B_MOUSE']
Q9JHU4,['DYHC1_MOUSE']
P01942,['HBA_MOUSE']
P68254,['1433T_MOUSE']
P04370,['MBP_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
Q61879,['MYH10_MOUSE']
P17710,['HXK1_MOUSE']
P63040,['CPLX1_MOUSE']
Q9D6F9,['TBB4A_MOUSE']
P09411,['PGK1_MOUSE']
Q9WV92,['E41L3_MOUSE']
Q9D0F9,['PGM1_MOUSE']
Q5U410,['G3P_MOUSE']
O88737,['BSN_MOUSE']
P16330,['CN37_MOUSE']
Q9QYR6,['MAP1A_MOUSE']
P26443,['DHE3_MOUSE']
P62149,['CALM_MOUSE']
Q64524,['H2B2E_MOUSE']
P56564,['EAA1_MOUSE']
Q9DCX2,['ATP5H_MOUSE']
Q8QZT1,['THIL_MOUSE']
Q6PDS7,['H4_MOUSE']
O55143,['AT2A2_MOUSE']
Q61303,['ANK1_MOUSE']
P02088,['HBB1_MOUSE']
Q9QYB5,['ADDG_MOUSE']
Q91ZZ3,['SYUB_MOUSE']
P18872,['GNAO_MOUSE']
