,Occurences
multicellular organismal process,433
biological regulation,1551
reproductive process,179
metabolic process,1133
cellular process,2046
response to stimulus,785
locomotion,146
localization,788
developmental process,737
biological process involved in interspecies interaction between organisms,128
behavior,148
growth,64
detoxification,15
immune system process,151
nitrogen utilization,2
rhythmic process,38
signaling,95
biological adhesion,121
biomineralization,6
pigmentation,3
multi-organism process,10
biological process involved in intraspecies interaction between organisms,17
reproduction,1
