,Occurences
organelle,1722
chromatin,32
intracellular anatomical structure,1574
membrane,1044
nuclear protein-containing complex,179
intracellular protein-containing complex,118
cell junction,448
actin filament bundle,26
catalytic complex,264
supramolecular complex,244
cell projection,522
actomyosin,25
chaperone complex,10
microtubule organizing center,100
extrinsic component of membrane,53
presynapse,60
neuron projection terminus,40
membrane-enclosed lumen,128
ribonucleoprotein complex,147
postsynapse,84
cytoplasm,111
nucleoid,15
endoplasmic reticulum protein-containing complex,31
external encapsulating structure,55
side of membrane,55
membrane protein complex,272
envelope,55
cell body,193
site of polarized growth,80
microtubule associated complex,29
mitochondrial protein-containing complex,85
intrinsic component of membrane,435
cytochrome complex,13
organelle subcompartment,53
cytosol,20
organelle membrane contact site,6
receptor complex,32
blood microparticle,1
leading edge membrane,55
transporter complex,64
synaptonemal structure,1
protein complex involved in cell adhesion,2
dendrite terminus,6
cell body membrane,10
DNA packaging complex,15
protein-DNA complex,15
myosin complex,8
cluster of actin-based cell projections,29
nuclear body,97
tricarboxylic acid cycle enzyme complex,7
transcription regulator complex,27
microtubule end,7
BLOC complex,3
site of DNA damage,14
cell pole,8
spindle midzone,3
ensheathing process,1
host cellular component,4
protein-lipid complex,6
tubulobulbar complex,2
extracellular region,10
fatty acid beta-oxidation multienzyme complex,2
contractile ring,3
chromosomal region,18
Sm-like protein family complex,21
cell leading edge,2
RNA cap binding complex,4
ESCRT complex,4
ER membrane insertion complex,1
eukaryotic translation initiation factor 3 complex,4
spindle pole,4
myofilament,5
cohesin complex,2
Bcl-2 family protein complex,1
ciliary transition zone,6
vesicle tethering complex,10
respirasome,2
perinuclear region of cytoplasm,2
mRNA editing complex,2
laminin complex,2
nucleocytoplasmic transport complex,1
peptidase inhibitor complex,1
DNA repair complex,3
mucus layer,1
glycoprotein complex,1
stereocilia coupling link,1
