Uniprot Entry,Accession Name
Q9CWB1,['KPYM_MOUSE']
Q9D051,['ODPB_MOUSE']
P16125,['LDHB_MOUSE']
Q9D2G2,['ODO2_MOUSE']
Q61753,['SERA_MOUSE']
Q9DCX2,['ATP5H_MOUSE']
Q91ZA3,['PCCA_MOUSE']
Q8K183,['PDXK_MOUSE']
Q99LX0,['PARK7_MOUSE']
P09411,['PGK1_MOUSE']
Q64521,['GPDM_MOUSE']
Q63932,['MP2K2_MOUSE']
P09671,['SODM_MOUSE']
Q01853,['TERA_MOUSE']
P40142,['TKT_MOUSE']
Q3U0V1,['FUBP2_MOUSE']
Q3THS6,['METK2_MOUSE']
P17183,['ENOG_MOUSE']
P63085,['MK01_MOUSE']
P68373,['TBA1C_MOUSE']
Q8BVI4,['DHPR_MOUSE']
Q9CWS0,['DDAH1_MOUSE']
P18760,['COF1_MOUSE']
P00493,['HPRT_MOUSE']
Q61206,['PA1B2_MOUSE']
P47753,['CAZA1_MOUSE']
Q9QUM9,['PSA6_MOUSE']
P15105,['GLNA_MOUSE']
Q05920,['PYC_MOUSE']
P67778,['PHB_MOUSE']
O88712,['CTBP1_MOUSE']
P97807,['FUMH_MOUSE']
P61164,['ACTZ_MOUSE']
P17742,['PPIA_MOUSE']
Q91YT0,['NDUV1_MOUSE']
O08749,['DLDH_MOUSE']
P63101,['1433Z_MOUSE']
Q6IRU5,['CLCB_MOUSE']
P97427,['DPYL1_MOUSE']
P63038,['CH60_MOUSE']
Q8QZT1,['THIL_MOUSE']
P11798,['KCC2A_MOUSE']
Q5U410,['G3P_MOUSE']
Q8CHH9,['SEPT8_MOUSE']
Q9EQF6,['DPYL5_MOUSE']
Q8R5C5,['ACTY_MOUSE']
Q9Z2K1,['K1C16_MOUSE']
P12787,['COX5A_MOUSE']
P15532,['NDKA_MOUSE']
Q9D7X3,['DUS3_MOUSE']
Q9CWJ9,['PUR9_MOUSE']
Q05816,['FABP5_MOUSE']
P14206,['RSSA_MOUSE']
Q99KB8,['GLO2_MOUSE']
Q91Z53,['GRHPR_MOUSE']
P11983,['TCPA_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
P14152,['MDHC_MOUSE']
Q99J99,['THTM_MOUSE']
Q99LF4,['RTCB_MOUSE']
Q9DCS9,['NDUBA_MOUSE']
Q9WUK2,['IF4H_MOUSE']
Q04447,['KCRB_MOUSE']
Q3UGR5,['HDHD2_MOUSE']
Q99LR1,['ABD12_MOUSE']
P07724,['ALBU_MOUSE']
