,Occurences
cellular process,2449
biological regulation,1869
response to stimulus,949
metabolic process,1321
growth,86
developmental process,926
localization,957
reproductive process,228
behavior,186
multicellular organismal process,563
signaling,113
detoxification,16
biological process involved in interspecies interaction between organisms,175
rhythmic process,45
immune system process,206
locomotion,199
nitrogen utilization,1
biological adhesion,168
reproduction,2
multi-organism process,23
biological process involved in intraspecies interaction between organisms,22
biomineralization,5
pigmentation,7
