,Occurences
external encapsulating structure,74
cell projection,621
intracellular anatomical structure,1816
organelle,2011
catalytic complex,297
mitochondrial protein-containing complex,103
membrane,1291
tricarboxylic acid cycle enzyme complex,8
membrane-enclosed lumen,148
membrane protein complex,325
nuclear body,86
cytoplasm,133
supramolecular complex,275
side of membrane,76
cell junction,552
nucleoid,19
endoplasmic reticulum protein-containing complex,33
site of DNA damage,11
intracellular protein-containing complex,141
cell body,231
site of polarized growth,98
actin filament bundle,30
postsynapse,115
leading edge membrane,71
cluster of actin-based cell projections,31
ribonucleoprotein complex,154
presynapse,65
neuron projection terminus,43
intrinsic component of membrane,576
extrinsic component of membrane,71
transcription regulator complex,25
microtubule organizing center,120
organelle subcompartment,66
receptor complex,50
cytosol,27
cytochrome complex,11
chaperone complex,10
chromatin,28
envelope,58
transporter complex,76
actomyosin,29
nuclear protein-containing complex,162
microtubule associated complex,34
cell pole,7
organelle membrane contact site,9
chromosomal region,17
dendrite terminus,7
synaptonemal structure,3
BLOC complex,4
cell body membrane,7
myosin complex,8
microtubule end,10
protein complex involved in cell adhesion,3
protein-lipid complex,10
contractile ring,3
photoreceptor outer segment,1
host cellular component,7
Sm-like protein family complex,17
tubulobulbar complex,2
extracellular region,13
protein-DNA complex,11
DNA packaging complex,10
cell leading edge,2
fatty acid beta-oxidation multienzyme complex,2
spindle midzone,4
eukaryotic translation initiation factor 3 complex,8
RNA cap binding complex,3
myofilament,6
ER membrane insertion complex,3
ciliary transition zone,9
vesicle tethering complex,14
ensheathing process,1
blood microparticle,1
spindle pole,3
ESCRT complex,2
microtubule bundle,1
perinuclear region of cytoplasm,2
glycoprotein complex,3
Bcl-2 family protein complex,1
laminin complex,4
nucleocytoplasmic transport complex,2
respirasome,3
peptidase inhibitor complex,1
immunoglobulin complex,1
collagen trimer,6
gamma-tubulin complex,1
replication fork,1
DNA repair complex,1
cohesin complex,1
