Uniprot Entry,Accession Name
Q9CWB1,['KPYM_MOUSE']
Q9D051,['ODPB_MOUSE']
P16125,['LDHB_MOUSE']
Q61753,['SERA_MOUSE']
Q9DCX2,['ATP5H_MOUSE']
Q91ZA3,['PCCA_MOUSE']
Q8K183,['PDXK_MOUSE']
P28663,['SNAB_MOUSE']
Q7TQF7,['AMPH_MOUSE']
Q9CQM9,['GLRX3_MOUSE']
Q64521,['GPDM_MOUSE']
Q99LX0,['PARK7_MOUSE']
P09411,['PGK1_MOUSE']
Q60692,['PSB6_MOUSE']
Q9CWZ7,['SNAG_MOUSE']
Q61644,['PACN1_MOUSE']
P09671,['SODM_MOUSE']
Q8VD04,['GRAP1_MOUSE']
Q3U0V1,['FUBP2_MOUSE']
Q01853,['TERA_MOUSE']
P17183,['ENOG_MOUSE']
P63085,['MK01_MOUSE']
P68373,['TBA1C_MOUSE']
Q9CWS0,['DDAH1_MOUSE']
P18760,['COF1_MOUSE']
Q9QUM9,['PSA6_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
Q9DCT2,['NDUS3_MOUSE']
Q9Z140,['CPNE6_MOUSE']
Q91WD5,['NDUS2_MOUSE']
P67778,['PHB_MOUSE']
P97807,['FUMH_MOUSE']
Q8BKZ9,['ODPX_MOUSE']
P17742,['PPIA_MOUSE']
Q91YT0,['NDUV1_MOUSE']
P61089,['UBE2N_MOUSE']
O08749,['DLDH_MOUSE']
P63101,['1433Z_MOUSE']
O55023,['IMPA1_MOUSE']
Q6PDM2,['SRSF1_MOUSE']
Q8CGK3,['LONM_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
O54983,['CRYM_MOUSE']
Q9CZ44,['NSF1C_MOUSE']
Q91XF0,['PNPO_MOUSE']
Q8R5C5,['ACTY_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
Q8VD62,['CK068_MOUSE']
Q9D7X3,['DUS3_MOUSE']
Q99L47,['F10A1_MOUSE']
Q05816,['FABP5_MOUSE']
Q9CWJ9,['PUR9_MOUSE']
P14206,['RSSA_MOUSE']
P11983,['TCPA_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P14152,['MDHC_MOUSE']
Q9Z2U1,['PSA5_MOUSE']
Q99J99,['THTM_MOUSE']
Q5EBJ4,['ERMIN_MOUSE']
Q641P0,['ARP3B_MOUSE']
Q9WUK2,['IF4H_MOUSE']
Q9DCS9,['NDUBA_MOUSE']
Q91ZP9,['NECA2_MOUSE']
