,Occurences
developmental process,748
growth,69
cellular process,2012
response to stimulus,772
metabolic process,1065
biological regulation,1524
localization,811
signaling,89
behavior,147
multicellular organismal process,421
reproductive process,167
detoxification,18
biological process involved in interspecies interaction between organisms,121
immune system process,145
locomotion,145
biological adhesion,124
multi-organism process,12
reproduction,1
rhythmic process,29
biological process involved in intraspecies interaction between organisms,15
pigmentation,4
biomineralization,7
nitrogen utilization,2
