,Occurences
cell projection,531
intracellular anatomical structure,1538
organelle,1689
external encapsulating structure,46
catalytic complex,254
mitochondrial protein-containing complex,92
membrane,1064
membrane protein complex,283
membrane-enclosed lumen,123
neuron projection terminus,38
presynapse,62
cell junction,482
extrinsic component of membrane,61
cytoplasm,114
nuclear body,76
intracellular protein-containing complex,115
leading edge membrane,61
nucleoid,15
cell body,198
supramolecular complex,232
endoplasmic reticulum protein-containing complex,28
site of DNA damage,9
site of polarized growth,91
actin filament bundle,28
postsynapse,99
ribonucleoprotein complex,137
microtubule organizing center,105
microtubule associated complex,26
intrinsic component of membrane,432
tricarboxylic acid cycle enzyme complex,8
nuclear protein-containing complex,135
receptor complex,37
organelle subcompartment,66
chromatin,25
chaperone complex,10
cluster of actin-based cell projections,26
cell leading edge,1
tubulobulbar complex,2
actomyosin,27
dendrite terminus,9
myofilament,5
cytosol,25
cytochrome complex,11
side of membrane,52
envelope,49
cell pole,7
organelle membrane contact site,7
chromosomal region,15
synaptonemal structure,2
transporter complex,72
transcription regulator complex,19
BLOC complex,2
blood microparticle,1
RNA cap binding complex,4
protein complex involved in cell adhesion,2
myosin complex,9
cell body membrane,11
microtubule end,9
DNA packaging complex,10
protein-DNA complex,10
fatty acid beta-oxidation multienzyme complex,2
contractile ring,3
host cellular component,3
extracellular region,10
ensheathing process,1
ER membrane insertion complex,2
protein-lipid complex,7
vesicle tethering complex,13
Sm-like protein family complex,15
respirasome,2
nucleocytoplasmic transport complex,1
spindle midzone,4
ESCRT complex,8
eukaryotic translation initiation factor 3 complex,8
microtubule bundle,1
spindle pole,7
inflammasome complex,1
condensed chromosome outer kinetochore,1
collagen trimer,2
immunoglobulin complex,2
ciliary transition zone,2
laminin complex,2
perinuclear region of cytoplasm,1
replication fork,1
cohesin complex,1
