Uniprot Entry,Accession Name
Q9CWB1,['KPYM_MOUSE']
P16125,['LDHB_MOUSE']
P60710,['ACTB_MOUSE']
P80316,['TCPE_MOUSE']
Q8K183,['PDXK_MOUSE']
P68368,['TBA4A_MOUSE']
Q7TMM9,['TBB2A_MOUSE']
P28663,['SNAB_MOUSE']
Q01853,['TERA_MOUSE']
Q61029,['LAP2B_MOUSE']
P26443,['DHE3_MOUSE']
P09103,['PDIA1_MOUSE']
P14211,['CALR_MOUSE']
P17183,['ENOG_MOUSE']
P08113,['ENPL_MOUSE']
P63085,['MK01_MOUSE']
Q9D6R2,['IDH3A_MOUSE']
P08553,['NFM_MOUSE']
P68373,['TBA1C_MOUSE']
Q9CWS0,['DDAH1_MOUSE']
P17182,['ENOA_MOUSE']
Q9CWF2,['TBB2B_MOUSE']
Q9ERD7,['TBB3_MOUSE']
Q99KI0,['ACON_MOUSE']
P63028,['TCTP_MOUSE']
P17751,['TPIS_MOUSE']
Q61171,['PRDX2_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
P61982,['1433G_MOUSE']
P15105,['GLNA_MOUSE']
P50516,['VATA_MOUSE']
O35658,['C1QBP_MOUSE']
Q91WD5,['NDUS2_MOUSE']
Q9CZ13,['QCR1_MOUSE']
P63101,['1433Z_MOUSE']
P20029,['GRP78_MOUSE']
P46460,['NSF_MOUSE']
P30275,['KCRU_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
Q7TQI3,['OTUB1_MOUSE']
P08551,['NFL_MOUSE']
P63268,['ACTH_MOUSE']
O08553,['DPYL2_MOUSE']
Q3UB69,['ATPB_MOUSE']
Q91VD9,['NDUS1_MOUSE']
P59281,['RHG39_MOUSE']
P48036,['ANXA5_MOUSE']
Q3UGM0,['HSP7C_MOUSE']
P12787,['COX5A_MOUSE']
P11983,['TCPA_MOUSE']
P61514,['RL37A_MOUSE']
Q03265,['ATPA_MOUSE']
P46660,['AINX_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P14152,['MDHC_MOUSE']
Q9DBJ1,['PGAM1_MOUSE']
P17710,['HXK1_MOUSE']
Q9CZC8,['SCRN1_MOUSE']
Q08331,['CALB2_MOUSE']
Q04447,['KCRB_MOUSE']
