,Occurences
growth,71
response to stimulus,761
metabolic process,1065
developmental process,724
cellular process,1957
biological regulation,1463
localization,769
locomotion,152
reproductive process,162
biological process involved in interspecies interaction between organisms,139
signaling,83
multicellular organismal process,423
behavior,132
immune system process,158
detoxification,16
nitrogen utilization,2
rhythmic process,31
biological adhesion,135
multi-organism process,11
pigmentation,2
biological process involved in intraspecies interaction between organisms,11
biomineralization,4
