,Occurences
organelle,1664
cell projection,505
external encapsulating structure,60
catalytic complex,235
intracellular anatomical structure,1516
membrane,1017
nuclear protein-containing complex,149
intracellular protein-containing complex,114
actomyosin,25
supramolecular complex,244
actin filament bundle,26
cell junction,445
microtubule organizing center,102
chaperone complex,10
membrane protein complex,253
site of DNA damage,12
endoplasmic reticulum protein-containing complex,31
intrinsic component of membrane,443
envelope,46
membrane-enclosed lumen,126
side of membrane,61
ribonucleoprotein complex,141
cytoplasm,111
cell body,200
site of polarized growth,84
extrinsic component of membrane,52
microtubule associated complex,30
neuron projection terminus,47
presynapse,66
mitochondrial protein-containing complex,86
cytochrome complex,10
organelle subcompartment,59
organelle membrane contact site,5
receptor complex,29
nucleoid,17
blood microparticle,1
postsynapse,86
cytosol,27
chromatin,29
cell leading edge,1
tubulobulbar complex,2
cluster of actin-based cell projections,24
transcription regulator complex,23
nuclear body,80
transporter complex,54
protein complex involved in cell adhesion,4
leading edge membrane,54
dendrite terminus,6
tricarboxylic acid cycle enzyme complex,6
myosin complex,7
cell body membrane,8
microtubule end,9
extracellular region,7
protein-DNA complex,11
DNA packaging complex,12
Sm-like protein family complex,18
photoreceptor outer segment,1
host cellular component,5
contractile ring,4
ciliary transition zone,5
vesicle tethering complex,9
cell pole,6
BLOC complex,3
nucleocytoplasmic transport complex,2
chromosomal region,11
fatty acid beta-oxidation multienzyme complex,2
synaptonemal structure,1
protein-lipid complex,7
eukaryotic translation initiation factor 3 complex,6
Bcl-2 family protein complex,1
spindle midzone,3
respirasome,2
ESCRT complex,4
RNA cap binding complex,4
ER membrane insertion complex,2
glycoprotein complex,2
gamma-tubulin complex,1
immunoglobulin complex,1
laminin complex,3
ensheathing process,1
DNA repair complex,2
perinuclear region of cytoplasm,2
spindle pole,2
peptidase inhibitor complex,1
myofilament,2
microtubule bundle,1
