Uniprot Entry,Accession Name
Q9CWB1,['KPYM_MOUSE']
Q9D051,['ODPB_MOUSE']
P16125,['LDHB_MOUSE']
Q9D2G2,['ODO2_MOUSE']
Q9DB77,['QCR2_MOUSE']
Q9DCX2,['ATP5H_MOUSE']
Q91ZA3,['PCCA_MOUSE']
Q8K183,['PDXK_MOUSE']
P28663,['SNAB_MOUSE']
Q7TQF7,['AMPH_MOUSE']
P09411,['PGK1_MOUSE']
Q64521,['GPDM_MOUSE']
P09671,['SODM_MOUSE']
Q01853,['TERA_MOUSE']
P40142,['TKT_MOUSE']
P17183,['ENOG_MOUSE']
P63085,['MK01_MOUSE']
P68373,['TBA1C_MOUSE']
Q8BVI4,['DHPR_MOUSE']
Q9CWS0,['DDAH1_MOUSE']
P05202,['AATM_MOUSE']
P18760,['COF1_MOUSE']
P47753,['CAZA1_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
P15105,['GLNA_MOUSE']
Q05920,['PYC_MOUSE']
Q91WD5,['NDUS2_MOUSE']
P67778,['PHB_MOUSE']
P97807,['FUMH_MOUSE']
P17742,['PPIA_MOUSE']
Q91YT0,['NDUV1_MOUSE']
O08749,['DLDH_MOUSE']
P63101,['1433Z_MOUSE']
P12658,['CALB1_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
Q5U410,['G3P_MOUSE']
Q8CHH9,['SEPT8_MOUSE']
Q62095,['DDX3Y_MOUSE']
P12787,['COX5A_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
P11983,['TCPA_MOUSE']
P14206,['RSSA_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P14152,['MDHC_MOUSE']
Q5EBJ4,['ERMIN_MOUSE']
Q9DCS9,['NDUBA_MOUSE']
Q04447,['KCRB_MOUSE']
P07724,['ALBU_MOUSE']
P05064,['ALDOA_MOUSE']
P61979,['HNRPK_MOUSE']
P07901,['HS90A_MOUSE']
P10649,['GSTM1_MOUSE']
Q9D6J6,['NDUV2_MOUSE']
P08553,['NFM_MOUSE']
P19157,['GSTP1_MOUSE']
P17182,['ENOA_MOUSE']
Q60864,['STIP1_MOUSE']
Q9CWF2,['TBB2B_MOUSE']
Q99KI0,['ACON_MOUSE']
Q9CPU0,['LGUL_MOUSE']
P61982,['1433G_MOUSE']
P80317,['TCPZ_MOUSE']
Q91VM9,['IPYR2_MOUSE']
P27773,['PDIA3_MOUSE']
P20029,['GRP78_MOUSE']
Q9D154,['ILEUA_MOUSE']
