,Occurences
biological regulation,1590
growth,70
response to stimulus,815
developmental process,766
cellular process,2114
metabolic process,1151
localization,818
signaling,92
behavior,141
multicellular organismal process,448
detoxification,18
biological process involved in interspecies interaction between organisms,138
immune system process,169
reproductive process,165
multi-organism process,16
locomotion,151
nitrogen utilization,2
biological adhesion,135
rhythmic process,29
pigmentation,4
biological process involved in intraspecies interaction between organisms,12
biomineralization,6
reproduction,2
