,Occurences
organelle,1759
intracellular anatomical structure,1610
external encapsulating structure,69
catalytic complex,257
cell projection,543
mitochondrial protein-containing complex,94
membrane,1090
tricarboxylic acid cycle enzyme complex,8
membrane-enclosed lumen,137
cytochrome complex,11
membrane protein complex,282
presynapse,59
neuron projection terminus,40
extrinsic component of membrane,60
cell junction,473
nucleoid,20
intracellular protein-containing complex,111
supramolecular complex,271
site of DNA damage,13
endoplasmic reticulum protein-containing complex,35
nuclear body,87
cytoplasm,112
cell body,203
site of polarized growth,89
actin filament bundle,29
postsynapse,92
leading edge membrane,67
cluster of actin-based cell projections,29
microtubule organizing center,113
microtubule associated complex,30
intrinsic component of membrane,455
cytosol,22
receptor complex,42
chromatin,28
chaperone complex,10
ribonucleoprotein complex,143
nuclear protein-containing complex,155
dendrite terminus,6
myofilament,3
transcription regulator complex,22
side of membrane,60
envelope,49
organelle membrane contact site,6
synaptonemal structure,3
transporter complex,63
actomyosin,28
BLOC complex,3
organelle subcompartment,60
blood microparticle,1
protein complex involved in cell adhesion,4
DNA packaging complex,13
protein-DNA complex,15
myosin complex,9
contractile ring,4
cell body membrane,10
microtubule end,9
protein-lipid complex,8
tubulobulbar complex,2
cell leading edge,2
ER membrane insertion complex,2
chromosomal region,13
cell pole,10
extracellular region,9
host cellular component,4
Sm-like protein family complex,18
microtubule bundle,1
spindle pole,6
spindle midzone,4
fatty acid beta-oxidation multienzyme complex,2
gamma-tubulin complex,1
laminin complex,4
eukaryotic translation initiation factor 3 complex,6
vesicle tethering complex,9
ciliary transition zone,5
nucleocytoplasmic transport complex,2
RNA cap binding complex,2
replication fork,2
ESCRT complex,3
respirasome,2
inflammasome complex,2
glycoprotein complex,2
stereocilia coupling link,1
immunoglobulin complex,1
ensheathing process,1
perinuclear region of cytoplasm,1
DNA repair complex,1
cohesin complex,2
peptidase inhibitor complex,1
