,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
0,Q9CWB1,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"cytosol ISO, photoreceptor inner segment IDA, pyruvate kinase complex ISO, cilium IDA, collagen-containing extracellular matrix HDA, rough endoplasmic reticulum IDA, nucleus ISO, mitochondrion HDA, myelin sheath HDA, cytoplasm ISO","GO:0005739, GO:0005791, GO:0005737, GO:0043209, GO:0005634, GO:0001917, GO:1902912, GO:0005929, GO:0005829, GO:0062023","ATP binding IEA, ADP binding ISO, identical protein binding ISO, mRNA binding IDA, potassium ion binding IEA, thyroid hormone binding ISO, pyruvate kinase activity IDA, kinase activity IEA, magnesium ion binding IEA","GO:0016301, GO:0042802, GO:0004743, GO:0003729, GO:0070324, GO:0030955, GO:0005524, GO:0000287, GO:0043531","ATP biosynthetic process ISO, glucose metabolic process ISO, pyruvate biosynthetic process ISO, animal organ regeneration ISO, positive regulation of sprouting angiogenesis ISS, glycolytic process IDA, programmed cell death ISO, skeletal muscle tissue regeneration ISO, positive regulation of cytoplasmic translation IDA, cellular response to insulin stimulus IBA, liver development ISO","GO:0006754, GO:1903672, GO:0006096, GO:0001889, GO:0031100, GO:0006006, GO:0043403, GO:0042866, GO:0012501, GO:0032869, GO:2000767"," Allosteric enzyme,  Metal-binding,  Direct protein sequencing,  Hydroxylation, Acetylation,  Methylation, Nucleotide-binding,  Magnesium,  Glycolysis, Reference proteome,  Translation regulation,  Ubl conjugation, Isopeptide bond,  Transferase,  Nucleus,  Kinase,  Phosphoprotein, Cytoplasm,  Pyruvate,  Alternative splicing,  ATP-binding,  Potassium","GO:0040007, GO:0008152, GO:0032502, GO:0050896, GO:0065007, GO:0009987","GO:0003824, GO:0005488","GO:0042995, GO:1902494, GO:0043226, GO:0005622, GO:0030312"
1,Q9D051,ODPB_MOUSE,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",Mus musculus (Mouse),"nucleoplasm ISO, mitochondrion HDA, mitochondrial pyruvate dehydrogenase complex IBA, pyruvate dehydrogenase complex ISS","GO:0005739, GO:0045254, GO:0005967, GO:0005654","pyruvate dehydrogenase (acetyl-transferring) activity ISS, pyruvate dehydrogenase (NAD+) activity IEA","GO:0004739, GO:0034604","tricarboxylic acid cycle IEA, mitochondrial acetyl-CoA biosynthetic process from pyruvate ISO, glucose metabolic process IEA, acetyl-CoA biosynthetic process from pyruvate ISS","GO:0061732, GO:0006086, GO:0006006, GO:0006099"," Carbohydrate metabolism,  Reference proteome,  Direct protein sequencing,  Mitochondrion, Tricarboxylic acid cycle,  Phosphoprotein, Pyruvate,  Thiamine pyrophosphate,  Oxidoreductase, Acetylation,  Transit peptide, Glucose metabolism","GO:0008152, GO:0009987",GO:0003824,"GO:0098798, GO:1902494, GO:0043226, GO:0005622"
2,P16125,LDHB_MOUSE,L-lactate dehydrogenase B chain,Mus musculus (Mouse),"myelin sheath HDA, cytosol ISO, membrane raft ISO, mitochondrion HDA","GO:0005739, GO:0005829, GO:0045121, GO:0043209","identical protein binding ISO, NAD binding ISO, kinase binding ISO, L-lactate dehydrogenase activity IDA, lactate dehydrogenase activity ISO","GO:0042802, GO:0019900, GO:0004457, GO:0051287, GO:0004459","carbohydrate metabolic process IEA, NAD metabolic process ISO, lactate metabolic process ISO, lactate biosynthetic process from pyruvate IC","GO:0006089, GO:0005975, GO:0019674, GO:0019244"," Cytoplasm,  NAD,  Direct protein sequencing,  Reference proteome, Phosphoprotein,  Oxidoreductase, Acetylation","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0016020, GO:0043226, GO:0005622"
3,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"intracellular membrane-bounded organelle ISO, nucleus ISS, oxoglutarate dehydrogenase complex ISS, plasma membrane ISO, mitochondrion HDA, myelin sheath HDA, mitochondrial matrix IEA","GO:0005739, GO:0043209, GO:0005634, GO:0045252, GO:0005886, GO:0043231, GO:0005759","heat shock protein binding ISO, transferase activity, transferring acyl groups ISS, dihydrolipoyllysine-residue succinyltransferase activity ISS, chaperone binding ISO","GO:0031072, GO:0051087, GO:0004149, GO:0016746","L-lysine catabolic process to acetyl-CoA via saccharopine IEA, succinyl-CoA metabolic process ISS, histone succinylation ISS, NADH metabolic process ISO, 2-oxoglutarate metabolic process ISS, tricarboxylic acid cycle ISS","GO:0006103, GO:0006099, GO:0006104, GO:0033512, GO:0006734, GO:0106077","Direct protein sequencing,  Lipoyl,  Nucleus,  Tricarboxylic acid cycle,  Mitochondrion, Reference proteome,  Alternative splicing,  Phosphoprotein, Acetylation,  Transit peptide,  Acyltransferase,  Transferase","GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:1902494, GO:0043226, GO:0005622, GO:0045239, GO:0016020, GO:0031974"
4,Q9CPY7,AMPL_MOUSE,Cytosol aminopeptidase {ECO:0000305},Mus musculus (Mouse),"cytosol ISO, nucleoplasm ISO, midbody ISO, mitochondrion HDA, trans-Golgi network ISO","GO:0005739, GO:0030496, GO:0005829, GO:0005654, GO:0005802","metalloaminopeptidase activity IEA, peptidase activity IDA, manganese ion binding IEA","GO:0030145, GO:0008233, GO:0070006",,," Cytoplasm, Direct protein sequencing,  Manganese,  Metal-binding,  Zinc,  Reference proteome,  Aminopeptidase,  Hydrolase,  Protease, Phosphoprotein, Acetylation,  Alternative initiation,  Magnesium",,"GO:0003824, GO:0005488","GO:0031984, GO:0043226, GO:0005622"
5,P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,Mus musculus (Mouse),"synaptobrevin 2-SNAP-25-syntaxin-1a complex IDA, vacuolar membrane IBA, SNARE complex IBA, myelin sheath HDA, postsynapse ISO, presynapse ISO","GO:0043209, GO:0098794, GO:0005774, GO:0070044, GO:0031201, GO:0098793","SNARE binding ISO, syntaxin binding IDA, soluble NSF attachment protein activity IBA","GO:0000149, GO:0019905, GO:0005483","SNARE complex disassembly IGI, regulation of ATPase activity ISO, intracellular protein transport IBA, protein-containing complex disassembly ISO, regulation of synaptic vesicle priming IGI, synaptic vesicle endocytosis IC, regulation of receptor internalization ISO, synaptic transmission, glutamatergic IGI","GO:0048488, GO:0006886, GO:0032984, GO:0035494, GO:0035249, GO:0010807, GO:0002090, GO:0043462","Direct protein sequencing,  Transport,  Protein transport, Reference proteome,  Membrane,  ER-Golgi transport","GO:0051179, GO:0023052, GO:0065007, GO:0009987","GO:0060090, GO:0005488","GO:0016020, GO:0098796"
6,Q7TQF7,AMPH_MOUSE,Amphiphysin,Mus musculus (Mouse),"presynaptic endocytic zone IDA, plasma membrane IBA, extrinsic component of synaptic vesicle membrane ISO, glutamatergic synapse IDA, leading edge membrane ISO, synaptic vesicle IDA, photoreceptor ribbon synapse IDA, axon terminus ISO, cytoskeleton IEA","GO:0098850, GO:0005856, GO:0098833, GO:0008021, GO:0031256, GO:0098684, GO:0005886, GO:0098978, GO:0043679","protein C-terminus binding ISO, protein-containing complex binding ISO, phospholipid binding ISO","GO:0005543, GO:0044877, GO:0008022","learning IMP, synaptic vesicle endocytosis IDA","GO:0048488, GO:0007612"," Cytoplasm,  Coiled coil,  Reference proteome,  Synapse, Cell junction,  Phosphoprotein,  Cytoskeleton,  Cytoplasmic vesicle,  SH3 domain, Membrane","GO:0032501, GO:0007610, GO:0051179, GO:0009987",GO:0005488,"GO:0043226, GO:0005622, GO:0030054, GO:0016020, GO:0019898, GO:0044306, GO:0098793"
7,P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,Mus musculus (Mouse),"cytosol ISO, extracellular space ISO, cytoplasm ISO, membrane raft ISO","GO:0005829, GO:0045121, GO:0005615, GO:0005737","phosphoglycerate kinase activity IDA, protein-disulfide reductase activity ISO, ADP binding ISO, ATP binding ISS","GO:0004618, GO:0047134, GO:0005524, GO:0043531","carbohydrate metabolic process ISO, negative regulation of angiogenesis ISO, plasminogen activation ISO, phosphorylation ISS, glycolytic process IDA, gluconeogenesis ISO, epithelial cell differentiation IEA, positive regulation of oxidative phosphorylation IBA, cellular response to hypoxia ISO","GO:0006096, GO:0016310, GO:0071456, GO:0016525, GO:0005975, GO:1903862, GO:0031639, GO:0030855, GO:0006094","Direct protein sequencing,  Cytoplasm,  Glycolysis,  Acetylation,  Reference proteome,  Kinase,  Phosphoprotein,  Hydroxylation,  ATP-binding, Nucleotide-binding, 3D-structure,  Transferase","GO:0008152, GO:0032502, GO:0050896, GO:0065007, GO:0009987","GO:0003824, GO:0005488",GO:0016020
8,Q64521,GPDM_MOUSE,"Glycerol-3-phosphate dehydrogenase, mitochondrial",Mus musculus (Mouse),"mitochondrial inner membrane HDA, glycerol-3-phosphate dehydrogenase complex TAS, mitochondrion HDA","GO:0005739, GO:0009331, GO:0005743","sn-glycerol-3-phosphate, glycerol-3-phosphate dehydrogenase [NAD+] activity ISO, calcium ion binding IEA","GO:0004367, GO:0005509, GO:0052591","glycerol-3-phosphate metabolic process IMP, glycerol catabolic process IEA, camera-type eye development IGI, multicellular organism growth IGI, gluconeogenesis IMP, NADH metabolic process ISO","GO:0019563, GO:0006072, GO:0043010, GO:0035264, GO:0006094, GO:0006734","Calcium,  Reference proteome,  Direct protein sequencing,  Mitochondrion,  Membrane, Metal-binding, Phosphoprotein,  Oxidoreductase,  Transit peptide,  Repeat,  Mitochondrion inner membrane,  Flavoprotein,  FAD","GO:0040007, GO:0008152, GO:0032502, GO:0032501, GO:0009987","GO:0003824, GO:0005488","GO:1902494, GO:0016020, GO:0043226, GO:0005622"
9,P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",Mus musculus (Mouse),"mitochondrion IDA, mitochondrial matrix ISO, mitochondrial inner membrane HDA, mitochondrial nucleoid ISO, myelin sheath HDA, cytoplasm ISO","GO:0005739, GO:0005737, GO:0043209, GO:0042645, GO:0005759, GO:0005743","superoxide dismutase activity IDA, identical protein binding ISO, oxygen binding ISO, DNA binding ISO, enzyme binding ISO, metal ion binding IBA, oxidoreductase activity IMP, manganese ion binding ISS","GO:0042802, GO:0019899, GO:0003677, GO:0019825, GO:0016491, GO:0004784, GO:0030145, GO:0046872","response to nutrient levels ISO, negative regulation of fibroblast proliferation IDA, positive regulation of vascular associated smooth muscle cell apoptotic process ISO, respiratory electron transport chain IMP, liver development IMP, response to cadmium ion IEA, response to oxidative stress IMP, response to superoxide IMP, negative regulation of cell population proliferation ISO, negative regulation of membrane hyperpolarization ISO, vasodilation IMP, response to L-ascorbic acid IEA, response to silicon dioxide IEA, heart development IMP, neuron development IMP, negative regulation of fat cell differentiation IMP, negative regulation of apoptotic process ISO, response to cold IEA, erythrophore differentiation IMP, response to reactive oxygen species IMP, superoxide anion generation IMP, negative regulation of neuron apoptotic process ISO, negative regulation of vascular associated smooth muscle cell proliferation ISO, positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching ISO, response to manganese ion IEA, cellular response to ethanol IEA, response to zinc ion IEA, response to axon injury IMP, regulation of catalytic activity IMP, negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway ISO, oxygen homeostasis ISO, positive regulation of nitric oxide biosynthetic process IMP, regulation of transcription by RNA polymerase II IDA, hydrogen peroxide metabolic process ISO, response to gamma radiation IGI, response to isolation stress IEA, apoptotic mitochondrial changes IMP, response to hypoxia IEA, mitochondrion organization IMP, removal of superoxide radicals IMP, superoxide metabolic process IMP, response to immobilization stress IEA, locomotory behavior IMP, age-dependent response to oxidative stress IMP, intrinsic apoptotic signaling pathway in response to oxidative stress IMP, intrinsic apoptotic signaling pathway in response to DNA damage IMP, release of cytochrome c from mitochondria IMP, response to hydrogen peroxide IMP, positive regulation of cell migration ISO, response to electrical stimulus IEA, response to drug ISO, hydrogen peroxide biosynthetic process ISO, response to selenium ion IEA, hemopoiesis IMP, response to activity IMP, response to hyperoxia IMP, response to lipopolysaccharide IEA, acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure IMP, protein homotetramerization ISO, glutathione metabolic process IMP, post-embryonic development IMP, detection of oxygen IMP, regulation of blood pressure IMP, age-dependent response to reactive oxygen species ISS, response to magnetism IEA, iron ion homeostasis IMP, regulation of mitochondrial membrane potential IMP, positive regulation of hydrogen peroxide biosynthetic process ISO","GO:0006749, GO:0009791, GO:0001889, GO:0000302, GO:0055093, GO:0050790, GO:0048666, GO:0010042, GO:0050665, GO:1902631, GO:0008217, GO:0045599, GO:0045429, GO:0071000, GO:0032496, GO:0035900, GO:0032364, GO:0030335, GO:0051881, GO:1904706, GO:0071361, GO:0048678, GO:0046686, GO:0007626, GO:0001315, GO:1905932, GO:0010332, GO:0048147, GO:0042542, GO:0006357, GO:0001666, GO:0008285, GO:0055072, GO:1902176, GO:0014823, GO:0043066, GO:0033591, GO:0051602, GO:0001306, GO:1905461, GO:0007005, GO:0042554, GO:0001836, GO:0003032, GO:0006801, GO:0008637, GO:0008630, GO:0034021, GO:0030097, GO:0042493, GO:0009409, GO:0007507, GO:0035902, GO:0022904, GO:0031667, GO:0043524, GO:0000303, GO:0010043, GO:0048773, GO:0010269, GO:0006979, GO:0051289, GO:0010729, GO:0003069, GO:0008631, GO:0019430, GO:0042311, GO:0042743"," Metal-binding,  Manganese,  Reference proteome,  Direct protein sequencing,  Ubl conjugation, Transit peptide,  Oxidoreductase, Acetylation,  Nitration, Mitochondrion","GO:0008152, GO:0032502, GO:0098754, GO:0050896, GO:0065007, GO:0032501, GO:0007610, GO:0009987","GO:0016209, GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0016020, GO:0031974, GO:0009295"
