Uniprot Entry,Accession Name
Q9CWB1,['KPYM_MOUSE']
Q9D051,['ODPB_MOUSE']
P16125,['LDHB_MOUSE']
Q9D2G2,['ODO2_MOUSE']
Q9CPY7,['AMPL_MOUSE']
P28663,['SNAB_MOUSE']
Q7TQF7,['AMPH_MOUSE']
P09411,['PGK1_MOUSE']
Q64521,['GPDM_MOUSE']
P09671,['SODM_MOUSE']
Q01853,['TERA_MOUSE']
P40142,['TKT_MOUSE']
Q61644,['PACN1_MOUSE']
P17183,['ENOG_MOUSE']
P68373,['TBA1C_MOUSE']
P18760,['COF1_MOUSE']
P00493,['HPRT_MOUSE']
P47753,['CAZA1_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
P15105,['GLNA_MOUSE']
Q9DCT2,['NDUS3_MOUSE']
P67778,['PHB_MOUSE']
P97807,['FUMH_MOUSE']
P17742,['PPIA_MOUSE']
P61089,['UBE2N_MOUSE']
O08749,['DLDH_MOUSE']
P63101,['1433Z_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
Q5U410,['G3P_MOUSE']
Q9EQF6,['DPYL5_MOUSE']
Q8R5C5,['ACTY_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
P11983,['TCPA_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P14152,['MDHC_MOUSE']
Q04447,['KCRB_MOUSE']
Q3UGR5,['HDHD2_MOUSE']
Q6PER3,['MARE3_MOUSE']
P07724,['ALBU_MOUSE']
P05064,['ALDOA_MOUSE']
Q9CR68,['UCRI_MOUSE']
Q9D6J6,['NDUV2_MOUSE']
P08553,['NFM_MOUSE']
P17182,['ENOA_MOUSE']
Q9CWF2,['TBB2B_MOUSE']
Q99KI0,['ACON_MOUSE']
Q9CPU0,['LGUL_MOUSE']
P48722,['HS74L_MOUSE']
P61982,['1433G_MOUSE']
P80317,['TCPZ_MOUSE']
P27773,['PDIA3_MOUSE']
P20029,['GRP78_MOUSE']
Q9D154,['ILEUA_MOUSE']
Q9QYG0,['NDRG2_MOUSE']
Q3UB69,['ATPB_MOUSE']
P46471,['PRS7_MOUSE']
P47738,['ALDH2_MOUSE']
O89053,['COR1A_MOUSE']
P47754,['CAZA2_MOUSE']
P00920,['CAH2_MOUSE']
Q9CZD3,['SYG_MOUSE']
O88844,['IDHC_MOUSE']
Q64727,['VINC_MOUSE']
O08599,['STXB1_MOUSE']
Q9CZU6,['CISY_MOUSE']
P99026,['PSB4_MOUSE']
P70296,['PEBP1_MOUSE']
