,Occurences
growth,31
metabolic process,735
developmental process,400
response to stimulus,436
biological regulation,934
cellular process,1470
localization,502
signaling,40
multicellular organismal process,228
behavior,65
detoxification,10
biological process involved in interspecies interaction between organisms,73
locomotion,70
immune system process,85
nitrogen utilization,1
reproductive process,88
biological adhesion,73
rhythmic process,14
multi-organism process,8
biological process involved in intraspecies interaction between organisms,8
reproduction,1
pigmentation,2
biomineralization,2
