,Occurences
cell projection,276
catalytic complex,165
organelle,1067
intracellular anatomical structure,976
external encapsulating structure,42
mitochondrial protein-containing complex,69
membrane,680
tricarboxylic acid cycle enzyme complex,7
membrane-enclosed lumen,90
organelle subcompartment,38
membrane protein complex,193
cell junction,253
extrinsic component of membrane,22
neuron projection terminus,28
presynapse,40
nucleoid,13
site of DNA damage,6
intracellular protein-containing complex,73
endoplasmic reticulum protein-containing complex,21
supramolecular complex,155
nuclear body,34
leading edge membrane,27
site of polarized growth,45
cell body,105
cytoplasm,65
actin filament bundle,14
postsynapse,38
cluster of actin-based cell projections,10
microtubule organizing center,56
microtubule associated complex,22
intrinsic component of membrane,397
receptor complex,12
chromatin,12
chaperone complex,8
microtubule end,3
cytochrome complex,12
nuclear protein-containing complex,74
cytosol,12
organelle membrane contact site,5
chromosomal region,6
side of membrane,32
synaptonemal structure,1
transporter complex,37
BLOC complex,2
actomyosin,13
blood microparticle,1
ribonucleoprotein complex,76
dendrite terminus,3
envelope,17
protein complex involved in cell adhesion,2
transcription regulator complex,8
myosin complex,4
fatty acid beta-oxidation multienzyme complex,2
DNA packaging complex,8
protein-DNA complex,8
cell body membrane,5
respirasome,3
spindle midzone,1
cell pole,4
nucleocytoplasmic transport complex,1
host cellular component,2
myofilament,4
vesicle tethering complex,10
contractile ring,3
Sm-like protein family complex,7
RNA cap binding complex,1
protein-lipid complex,2
extracellular region,1
laminin complex,2
ciliary transition zone,3
glycoprotein complex,1
collagen trimer,1
