Uniprot Entry,Accession Name
P48774,['GSTM5_MOUSE']
Q9CWB1,['KPYM_MOUSE']
Q9D051,['ODPB_MOUSE']
P16125,['LDHB_MOUSE']
Q9D2G2,['ODO2_MOUSE']
Q61753,['SERA_MOUSE']
Q9DCX2,['ATP5H_MOUSE']
Q91ZA3,['PCCA_MOUSE']
Q9CPY7,['AMPL_MOUSE']
Q8K183,['PDXK_MOUSE']
P28663,['SNAB_MOUSE']
Q7TQF7,['AMPH_MOUSE']
P51859,['HDGF_MOUSE']
Q64521,['GPDM_MOUSE']
Q99LX0,['PARK7_MOUSE']
P09411,['PGK1_MOUSE']
Q60692,['PSB6_MOUSE']
P09671,['SODM_MOUSE']
Q61644,['PACN1_MOUSE']
Q01853,['TERA_MOUSE']
P40142,['TKT_MOUSE']
Q3U0V1,['FUBP2_MOUSE']
P17183,['ENOG_MOUSE']
P62196,['PRS8_MOUSE']
P18872,['GNAO_MOUSE']
P63085,['MK01_MOUSE']
P68373,['TBA1C_MOUSE']
Q8BVI4,['DHPR_MOUSE']
P18760,['COF1_MOUSE']
P47753,['CAZA1_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
P15105,['GLNA_MOUSE']
Q9QUM9,['PSA6_MOUSE']
Q9DCT2,['NDUS3_MOUSE']
Q05920,['PYC_MOUSE']
Q91WD5,['NDUS2_MOUSE']
P67778,['PHB_MOUSE']
P97807,['FUMH_MOUSE']
P61164,['ACTZ_MOUSE']
P01942,['HBA_MOUSE']
P17742,['PPIA_MOUSE']
Q91YT0,['NDUV1_MOUSE']
P61089,['UBE2N_MOUSE']
O08749,['DLDH_MOUSE']
O55023,['IMPA1_MOUSE']
Q8CGK3,['LONM_MOUSE']
P63038,['CH60_MOUSE']
P62259,['1433E_MOUSE']
Q8QZT1,['THIL_MOUSE']
Q9CZ44,['NSF1C_MOUSE']
Q5U410,['G3P_MOUSE']
Q8CHH9,['SEPT8_MOUSE']
Q9EQF6,['DPYL5_MOUSE']
Q64288,['OMP_MOUSE']
Q8R5C5,['ACTY_MOUSE']
Q9D8E6,['RL4_MOUSE']
P12787,['COX5A_MOUSE']
P15532,['NDKA_MOUSE']
Q9D7X3,['DUS3_MOUSE']
Q9CWJ9,['PUR9_MOUSE']
Q05816,['FABP5_MOUSE']
P14206,['RSSA_MOUSE']
Q99KB8,['GLO2_MOUSE']
P11983,['TCPA_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
Q8BMF4,['ODP2_MOUSE']
P14152,['MDHC_MOUSE']
Q9Z2U1,['PSA5_MOUSE']
Q99J99,['THTM_MOUSE']
Q9DCS9,['NDUBA_MOUSE']
Q04447,['KCRB_MOUSE']
Q3UGR5,['HDHD2_MOUSE']
Q99JY9,['ARP3_MOUSE']
P07724,['ALBU_MOUSE']
P05064,['ALDOA_MOUSE']
Q9CR68,['UCRI_MOUSE']
P20152,['VIME_MOUSE']
P61979,['HNRPK_MOUSE']
P55264,['ADK_MOUSE']
P10649,['GSTM1_MOUSE']
P17563,['SBP1_MOUSE']
Q9D6J6,['NDUV2_MOUSE']
P31938,['MP2K1_MOUSE']
Q61598,['GDIB_MOUSE']
P08553,['NFM_MOUSE']
P19157,['GSTP1_MOUSE']
Q62108,['DLG4_MOUSE']
P17182,['ENOA_MOUSE']
Q60864,['STIP1_MOUSE']
Q99KI0,['ACON_MOUSE']
Q9CPU0,['LGUL_MOUSE']
Q9CWF2,['TBB2B_MOUSE']
P48722,['HS74L_MOUSE']
P61982,['1433G_MOUSE']
Q61990,['PCBP2_MOUSE']
P34022,['RANG_MOUSE']
P80317,['TCPZ_MOUSE']
P80313,['TCPH_MOUSE']
P27773,['PDIA3_MOUSE']
Q8R081,['HNRPL_MOUSE']
P20029,['GRP78_MOUSE']
