,Occurences
response to stimulus,795
metabolic process,1145
cellular process,2077
detoxification,20
biological regulation,1562
developmental process,783
growth,72
localization,783
signaling,81
multicellular organismal process,430
behavior,136
reproductive process,195
biological process involved in interspecies interaction between organisms,151
immune system process,170
locomotion,162
nitrogen utilization,1
biological adhesion,142
biological process involved in intraspecies interaction between organisms,18
rhythmic process,38
multi-organism process,18
biomineralization,7
pigmentation,1
reproduction,1
