,Occurences
catalytic complex,269
organelle,1757
cell projection,516
external encapsulating structure,73
intracellular anatomical structure,1609
mitochondrial protein-containing complex,94
membrane,1044
tricarboxylic acid cycle enzyme complex,7
membrane-enclosed lumen,137
membrane protein complex,271
organelle subcompartment,50
presynapse,56
neuron projection terminus,37
cell junction,459
extrinsic component of membrane,59
transcription regulator complex,24
nuclear body,94
intracellular protein-containing complex,127
nucleoid,17
leading edge membrane,60
endoplasmic reticulum protein-containing complex,26
site of DNA damage,12
supramolecular complex,273
cell body,192
site of polarized growth,82
cytoplasm,111
nuclear protein-containing complex,171
postsynapse,83
actin filament bundle,31
cluster of actin-based cell projections,24
microtubule associated complex,33
microtubule organizing center,113
ribonucleoprotein complex,160
intrinsic component of membrane,424
receptor complex,33
cytochrome complex,11
chromatin,28
chaperone complex,10
transporter complex,58
side of membrane,67
envelope,52
cell pole,7
cytosol,25
myofilament,6
organelle membrane contact site,5
actomyosin,30
chromosomal region,25
synaptonemal structure,3
vesicle tethering complex,12
contractile ring,3
ciliary transition zone,4
BLOC complex,3
blood microparticle,1
dendrite terminus,6
protein complex involved in cell adhesion,4
cell body membrane,7
myosin complex,10
protein-DNA complex,13
DNA packaging complex,12
microtubule end,7
photoreceptor outer segment,1
spindle midzone,5
ESCRT complex,6
protein-lipid complex,6
Sm-like protein family complex,23
spindle pole,5
extracellular region,7
fatty acid beta-oxidation multienzyme complex,2
nucleocytoplasmic transport complex,1
host cellular component,6
origin recognition complex,1
eukaryotic translation initiation factor 3 complex,4
laminin complex,5
Bcl-2 family protein complex,1
ER membrane insertion complex,2
RNA cap binding complex,4
cell leading edge,1
condensed chromosome outer kinetochore,1
DNA repair complex,2
collagen trimer,2
glycoprotein complex,2
tubulobulbar complex,1
cohesin complex,2
peptidase inhibitor complex,1
microtubule bundle,1
ferritin complex,2
