Uniprot Entry,Accession Name
A2A891,['CMTA1_MOUSE']
A2AIV2,['VIR_MOUSE']
B1AZI6,['THOC2_MOUSE']
B2RPU2,['PLHD1_MOUSE']
E9Q5R7,['NAL12_MOUSE']
E9Q9F6,['CTSRD_MOUSE']
F8VQB6,['MYO10_MOUSE']
O08538,['ANGP1_MOUSE']
O08967,['CYH3_MOUSE']
O35125,['LRC23_MOUSE']
O35372,['CNIH1_MOUSE']
O35625,['AXIN1_MOUSE']
O35973,['PER1_MOUSE']
O55028,['BCKD_MOUSE']
O55082,['PTN20_MOUSE']
O55201,['SPT5H_MOUSE']
O70191,['ATF5_MOUSE']
O70293,['GRK6_MOUSE']
O88312,['AGR2_MOUSE']
O88322,['NID2_MOUSE']
O88448,['KLC2_MOUSE']
O88908,['SOAT2_MOUSE']
O88939,['ZBT7A_MOUSE']
P00158,['CYB_MOUSE']
P04223,['HA1K_MOUSE']
P05213,['TBA1B_MOUSE']
P06537,['GCR_MOUSE']
P07607,['TYSY_MOUSE']
P0C1Q2,['PDE11_MOUSE']
P10300,['CD8B_MOUSE']
P16872,['IL7RA_MOUSE']
P17095,['HMGA1_MOUSE']
P18242,['CATD_MOUSE']
P18608,['HMGN1_MOUSE']
P23475,['XRCC6_MOUSE']
P23708,['NFYA_MOUSE']
P24807,['CD24_MOUSE']
P27664,['PDE6A_MOUSE']
P31651,['S6A12_MOUSE']
P34986,['OLF6_MOUSE']
P35412,['GPR12_MOUSE']
P39428,['TRAF1_MOUSE']
P41245,['MMP9_MOUSE']
P43345,['TLX1_MOUSE']
P50992,['ATP4B_MOUSE']
P51432,['PLCB3_MOUSE']
P51829,['ADCY7_MOUSE']
P52787,['IF_MOUSE']
P52912,['TIA1_MOUSE']
P54276,['MSH6_MOUSE']
P54279,['PMS2_MOUSE']
P55065,['PLTP_MOUSE']
P56593,['CP2AC_MOUSE']
P56818,['BACE1_MOUSE']
P57784,['RU2A_MOUSE']
P59016,['VP33B_MOUSE']
P59110,['SENP1_MOUSE']
P59158,['S12A3_MOUSE']
P59997,['KDM2A_MOUSE']
P61290,['PSME3_MOUSE']
P62309,['RUXG_MOUSE']
P62717,['RL18A_MOUSE']
P70302,['STIM1_MOUSE']
P70403,['CASP_MOUSE']
P70458,['IPSP_MOUSE']
P70691,['UD12_MOUSE']
P70700,['RPA2_MOUSE']
P97302,['BACH1_MOUSE']
P97355,['SPSY_MOUSE']
P97363,['SPTC2_MOUSE']
P97500,['MYT1L_MOUSE']
P97760,['RPB3_MOUSE']
P97855,['G3BP1_MOUSE']
