Uniprot Entry,Accession Name
Q99KX1,['MLF2_MOUSE']
A2AC93,['DNAI2_MOUSE']
A2AIG8,['1A1L1_MOUSE']
A2AJA9,['AJM1_MOUSE']
A2ALU4,['SHRM2_MOUSE']
A2ARK0,['FA83C_MOUSE']
A2AVA0,['SVEP1_MOUSE']
A2CI98,['DYTN_MOUSE']
A2TJV2,['PALM3_MOUSE']
A2VDH3,['LRC38_MOUSE']
A3KFM7,['CHD6_MOUSE']
A3KGF9,['CCD9B_MOUSE']
A6H611,['MIPEP_MOUSE']
B0F2B4,['NLGN4_MOUSE']
B1AUC7,['RHG36_MOUSE']
B1AUR6,['MMS22_MOUSE']
B1AXH1,['NHSL2_MOUSE']
B2RXR6,['ANR44_MOUSE']
B2RXZ1,['PNDC1_MOUSE']
B5TVM2,['ILDR2_MOUSE']
C8YR32,['LOXH1_MOUSE']
E9PVB3,['CC175_MOUSE']
E9PY46,['IF140_MOUSE']
E9Q414,['APOB_MOUSE']
E9Q555,['RN213_MOUSE']
G3UZ78,['ADGB_MOUSE']
H3BJG9,['LY6L_MOUSE']
J3QMY9,['TO6BL_MOUSE']
O08545,['EFNA3_MOUSE']
O08601,['MTP_MOUSE']
O08644,['EPHB6_MOUSE']
O08665,['SEM3A_MOUSE']
O08859,['TSG6_MOUSE']
O08983,['HPS1_MOUSE']
O09047,['C3AR_MOUSE']
O35066,['KIF3C_MOUSE']
O35099,['M3K5_MOUSE']
O35185,['BHE40_MOUSE']
O35235,['TNF11_MOUSE']
O35242,['FAN_MOUSE']
O35345,['IMA7_MOUSE']
O35393,['EFNB3_MOUSE']
O35405,['PLD3_MOUSE']
O35450,['FKBPL_MOUSE']
O35454,['CLCN6_MOUSE']
O35464,['SEM6A_MOUSE']
O35600,['ABCA4_MOUSE']
O54794,['AQP7_MOUSE']
O54818,['TPD53_MOUSE']
O54905,['B3GT2_MOUSE']
O54943,['PER2_MOUSE']
O55176,['PJA1_MOUSE']
O70169,['PRS39_MOUSE']
O70281,['TPST1_MOUSE']
O70400,['PDLI1_MOUSE']
O70579,['PM34_MOUSE']
O88444,['ADCY1_MOUSE']
O88545,['CSN6_MOUSE']
O88693,['CEGT_MOUSE']
O88852,['TSYL1_MOUSE']
O88878,['ZFAN5_MOUSE']
O88974,['SETB1_MOUSE']
O89001,['CBPD_MOUSE']
O89020,['AFAM_MOUSE']
O89106,['FHIT_MOUSE']
P01132,['EGF_MOUSE']
P01635,['KV5A3_MOUSE']
Q8BPK3,['CO4A2_MOUSE']
P09925,['SURF1_MOUSE']
P0DM40,['FR1L5_MOUSE']
P0DP60,['LYNX1_MOUSE']
P10820,['PERF_MOUSE']
P11672,['NGAL_MOUSE']
P11688,['ITA5_MOUSE']
P11911,['CD79A_MOUSE']
P12849,['KAP1_MOUSE']
Q64296,['CD44_MOUSE']
P21614,['VTDB_MOUSE']
P23440,['PDE6B_MOUSE']
P23683,['EVX1_MOUSE']
P23906,['IRF2_MOUSE']
P25318,['CO8A2_MOUSE']
P26450,['P85A_MOUSE']
P27038,['AVR2A_MOUSE']
P27545,['CERS1_MOUSE']
P27656,['LIPC_MOUSE']
P27790,['CENPB_MOUSE']
P29812,['TYRP2_MOUSE']
P31360,['PO3F2_MOUSE']
P32043,['HXC5_MOUSE']
P34152,['FAK1_MOUSE']
P35283,['RAB12_MOUSE']
P35951,['LDLR_MOUSE']
P35969,['VGFR1_MOUSE']
P36536,['SAR1A_MOUSE']
P37889,['FBLN2_MOUSE']
P38532,['HSF1_MOUSE']
P40201,['CHD1_MOUSE']
P45700,['MA1A1_MOUSE']
P46425,['GSTP2_MOUSE']
P47750,['TSHR_MOUSE']
P49003,['BMP5_MOUSE']
P49025,['CTRO_MOUSE']
P50428,['ARSA_MOUSE']
P50462,['CSRP3_MOUSE']
P51655,['GPC4_MOUSE']
P51906,['EAA3_MOUSE']
P54728,['RD23B_MOUSE']
P54797,['TNG2_MOUSE']
P56716,['RP1_MOUSE']
P58462,['FOXP1_MOUSE']
P58659,['EVA1C_MOUSE']
P58682,['TLR8_MOUSE']
P59113,['FERM1_MOUSE']
P61222,['ABCE1_MOUSE']
P62077,['TIM8B_MOUSE']
