GO:0003682,"{'GO:0005488', 'GO:0003674'}"
GO:0033613,"{'GO:0005488', 'GO:0008134', 'GO:0005515', 'GO:0140297', 'GO:0003674'}"
GO:0001228,"{'GO:0003700', 'GO:0140110', 'GO:0000981', 'GO:0003674', 'GO:0001216'}"
GO:0001227,"{'GO:0003700', 'GO:0001217', 'GO:0140110', 'GO:0000981', 'GO:0003674'}"
GO:0046974,"{'GO:0008170', 'GO:0016279', 'GO:0016741', 'GO:0008276', 'GO:0003824', 'GO:0018024', 'GO:0016278', 'GO:0008168', 'GO:0003674', 'GO:0008757', 'GO:0042054', 'GO:0140096', 'GO:0016740'}"
GO:0046872,"{'GO:0005488', 'GO:0043169', 'GO:0043167', 'GO:0003674'}"
GO:0000978,"{'GO:0000987', 'GO:0000977', 'GO:1901363', 'GO:0003676', 'GO:0003674', 'GO:0001067', 'GO:0097159', 'GO:0003690', 'GO:0005488', 'GO:1990837', 'GO:0043565', 'GO:0000976', 'GO:0003677'}"
GO:0043565,"{'GO:0005488', 'GO:0097159', 'GO:0003677', 'GO:0003674', 'GO:0003676', 'GO:1901363'}"
GO:0046332,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0003713,"{'GO:0098772', 'GO:0003712', 'GO:0140110', 'GO:0003674'}"
GO:0003712,"{'GO:0098772', 'GO:0140110', 'GO:0003674'}"
GO:0051015,"{'GO:0005488', 'GO:0005515', 'GO:0003674', 'GO:0003779', 'GO:0044877', 'GO:0008092'}"
GO:0042802,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0042803,"{'GO:0005488', 'GO:0046983', 'GO:0005515', 'GO:0042802', 'GO:0003674'}"
GO:0030165,"{'GO:0005488', 'GO:0019904', 'GO:0005515', 'GO:0003674'}"
GO:0043621,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0005524,"{'GO:0043168', 'GO:1901363', 'GO:0003674', 'GO:1901265', 'GO:0097367', 'GO:0097159', 'GO:0000166', 'GO:0035639', 'GO:0005488', 'GO:0036094', 'GO:0017076', 'GO:0030554', 'GO:0032559', 'GO:0032555', 'GO:0043167', 'GO:0032553'}"
GO:0070735,"{'GO:0016881', 'GO:0016879', 'GO:0140096', 'GO:0003674', 'GO:0003824', 'GO:0016874'}"
GO:0070736,"{'GO:0016874', 'GO:0016881', 'GO:0003824', 'GO:0016879', 'GO:0140096', 'GO:0070735', 'GO:0003674'}"
GO:0008028,"{'GO:0015075', 'GO:0046943', 'GO:0008509', 'GO:0003674', 'GO:0005215', 'GO:0015318', 'GO:0022857', 'GO:0005342'}"
GO:0015293,"{'GO:0005215', 'GO:0015291', 'GO:0022804', 'GO:0022857', 'GO:0003674'}"
GO:0003677,"{'GO:0005488', 'GO:0097159', 'GO:1901363', 'GO:0003674', 'GO:0003676'}"
GO:0042393,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0000981,"{'GO:0003700', 'GO:0140110', 'GO:0003674'}"
GO:0042826,"{'GO:0005488', 'GO:0005515', 'GO:0019899', 'GO:0003674'}"
GO:0005096,"{'GO:0098772', 'GO:0003674', 'GO:0030695', 'GO:0008047', 'GO:0030234', 'GO:0060589'}"
GO:0004672,"{'GO:0016773', 'GO:0003824', 'GO:0003674', 'GO:0016772', 'GO:0016301', 'GO:0140096', 'GO:0016740'}"
GO:0004674,"{'GO:0016773', 'GO:0003824', 'GO:0004672', 'GO:0003674', 'GO:0016772', 'GO:0016301', 'GO:0140096', 'GO:0016740'}"
GO:1990837,"{'GO:0005488', 'GO:1901363', 'GO:0003676', 'GO:0003674', 'GO:0043565', 'GO:0097159', 'GO:0003677', 'GO:0003690'}"
