Uniprot Entry,Accession Name
A0A087WPF7,['AUTS2_MOUSE']
A2A935,['PRD16_MOUSE']
A2ABU4,['MYOM3_MOUSE']
A2AHG0,['LZTS3_MOUSE']
A2AHJ4,['BRWD3_MOUSE']
A2AQH4,['BCORL_MOUSE']
A3KFU9,['DISP3_MOUSE']
A4Q9F1,['TTLL8_MOUSE']
B1AT66,['MOT7_MOUSE']
B2RRD7,['BRPF1_MOUSE']
E9QAG8,['ZN431_MOUSE']
G3X9J0,['SI1L3_MOUSE']
O08901,['BUB1_MOUSE']
O08934,['UNC4_MOUSE']
O35126,['ATN1_MOUSE']
O35250,['EXOC7_MOUSE']
O35638,['STAG2_MOUSE']
O35640,['ANXA8_MOUSE']
O35681,['SYT3_MOUSE']
O35855,['BCAT2_MOUSE']
O55134,['PCD12_MOUSE']
O55142,['RL35A_MOUSE']
O70228,['ATP9A_MOUSE']
O70577,['S22A2_MOUSE']
O88491,['NSD1_MOUSE']
O88597,['BECN1_MOUSE']
O88845,['AKA10_MOUSE']
O88951,['LIN7B_MOUSE']
P02535,['K1C10_MOUSE']
P05532,['KIT_MOUSE']
P06328,['HVM49_MOUSE']
P06800,['PTPRC_MOUSE']
P0C7L0,['WIPF3_MOUSE']
P16014,['SCG1_MOUSE']
P16372,['ZFP58_MOUSE']
P27106,['MIS_MOUSE']
P27612,['PLAP_MOUSE']
P28357,['HXD9_MOUSE']
Q80VY3,['CO2A1_MOUSE']
P30115,['GSTA3_MOUSE']
P32883,['RASK_MOUSE']
P34821,['BMP8A_MOUSE']
P35831,['PTN12_MOUSE']
P46467,['VPS4B_MOUSE']
P50296,['ARY3_MOUSE']
P52332,['JAK1_MOUSE']
P54731,['FAF1_MOUSE']
P59325,['IF5_MOUSE']
P59509,['ATS19_MOUSE']
P60764,['RAC3_MOUSE']
P60853,['LZTS1_MOUSE']
P62751,['RL23A_MOUSE']
P83555,['KI3L1_MOUSE']
P97436,['NKX31_MOUSE']
P97470,['PP4C_MOUSE']
P97868,['RBBP6_MOUSE']
P97872,['FMO5_MOUSE']
P97931,['UNG_MOUSE']
Q03173,['ENAH_MOUSE']
Q0V8T8,['CTP5B_MOUSE']
Q0VBN2,['DSEL_MOUSE']
Q3TZM9,['ALG11_MOUSE']
Q3UE31,['K0930_MOUSE']
Q3UKU4,['FA83F_MOUSE']
Q3URD3,['SLMAP_MOUSE']
Q3URY6,['ARMC2_MOUSE']
Q3UTH8,['ARHG9_MOUSE']
Q3UW12,['CNGA4_MOUSE']
