,Occurences
cellular component organization or biogenesis,93
regulation of biological process,175
growth,8
actin filament-based process,17
cell growth,2
locomotion,16
developmental process,85
response to stimulus,85
behavior,8
movement of cell or subcellular component,21
multicellular organismal process,48
cellular developmental process,49
regulation of biological quality,59
metabolic process,121
cellular metabolic process,113
localization,79
cell population proliferation,12
regulation of molecular function,51
establishment or maintenance of cell polarity,3
cell death,14
cell cycle process,18
reproductive process,29
cell cycle checkpoint,2
cell aggregation,2
export from cell,11
vesicle-mediated transport,29
cell cycle,3
microtubule-based process,11
cellular localization,40
cellular response to stimulus,58
biological adhesion,10
cell adhesion,7
transmembrane transport,13
cell communication,11
process utilizing autophagic mechanism,6
biological process involved in interspecies interaction between organisms,13
immune system process,17
vacuolar transport,7
intermediate filament-based process,1
cell activation,7
signal transduction,38
cell division,1
pigmentation,2
cellular process involved in reproduction in multicellular organism,7
cell recognition,3
cellular homeostasis,12
rhythmic process,2
detoxification,2
multi-organism process,1
signaling,6
microtubule organizing center localization,1
gene silencing,1
ensheathment of neurons,1
biomineralization,1
cell killing,1
cellular detoxification,1
protein folding,5
maintenance of location in cell,1
exocytic process,2
membrane docking,2
