,Occurences
intracellular organelle,160
membrane-bounded organelle,155
non-membrane-bounded organelle,49
site of polarized growth,6
transcription regulator complex,2
inclusion body,2
postsynapse,6
cell junction,30
cell projection,37
postsynaptic specialization,4
membrane,106
intrinsic component of membrane,45
supramolecular complex,17
catalytic complex,27
nuclear protein-containing complex,20
intracellular protein-containing complex,19
actomyosin,7
actin filament bundle,7
chromosomal region,5
condensed chromosome outer kinetochore,1
vesicle tethering complex,3
spindle pole,3
ribonucleoprotein complex,10
organelle subcompartment,7
membrane protein complex,19
side of membrane,3
immunoglobulin complex,1
extracellular organelle,1
external encapsulating structure,4
collagen trimer,2
extrinsic component of membrane,7
microtubule organizing center,15
endoplasmic reticulum protein-containing complex,2
envelope,7
cell body,5
cytoplasm,10
nuclear body,9
transporter complex,7
Sm-like protein family complex,1
leading edge membrane,2
membrane-enclosed lumen,10
dendrite terminus,1
organelle membrane contact site,1
mitochondrial protein-containing complex,3
ESCRT complex,3
myosin complex,1
cilium,1
inflammasome complex,1
receptor complex,1
microtubule associated complex,1
cytosol,2
cluster of actin-based cell projections,1
RNA cap binding complex,1
extracellular region,1
nucleoid,1
presynapse,2
chromatin,1
neuron projection terminus,1
