,Occurences
transferase activity,40
molecular function regulator,46
"catalytic activity, acting on a protein",37
ion binding,117
heterocyclic compound binding,92
protein binding,137
transcription regulator activity,26
organic cyclic compound binding,93
protein-containing complex binding,19
small molecule binding,57
ligase activity,1
carbohydrate derivative binding,54
transporter activity,21
lipid binding,18
modified amino acid binding,5
structural molecule activity,10
molecular transducer activity,6
hydrolase activity,49
sulfur compound binding,5
translation regulator activity,5
oxidoreductase activity,11
"catalytic activity, acting on DNA",5
isomerase activity,6
extracellular matrix binding,1
molecular adaptor activity,2
antigen binding,1
metal cluster binding,3
"catalytic activity, acting on RNA",2
lyase activity,2
carbohydrate binding,1
antioxidant activity,1
amide binding,2
hormone binding,1
chromatin binding,1
