Uniprot Entry,Accession Name
A0AUV4,['SMKY_MOUSE']
A1A535,['MELT_MOUSE']
A1A5B6,['TBC25_MOUSE']
A2A791,['ZMYM4_MOUSE']
A2A8L5,['PTPRF_MOUSE']
A2AM29,['AF9_MOUSE']
A2AQ07,['TBB1_MOUSE']
A2AQ19,['RTF1_MOUSE']
A2AWL7,['MGAP_MOUSE']
A2RSY6,['TRM1L_MOUSE']
A9Z1V5,['VW5B1_MOUSE']
B2RX12,['MRP3_MOUSE']
B2RY04,['DOCK5_MOUSE']
B9EHT4,['CLIP3_MOUSE']
D2EAC2,['ZBED6_MOUSE']
D3YWJ0,['SLIP_MOUSE']
E9PV87,['TALD3_MOUSE']
E9Q2Z1,['CECR2_MOUSE']
E9Q3E1,['AL3B2_MOUSE']
G3XA57,['RFIP2_MOUSE']
O08674,['RBPJL_MOUSE']
O35409,['FOLH1_MOUSE']
O35490,['BHMT1_MOUSE']
O35711,['LIPB2_MOUSE']
O35739,['KLF9_MOUSE']
O35988,['SDC4_MOUSE']
O54825,['BYST_MOUSE']
O54834,['RHG06_MOUSE']
O70152,['DPM1_MOUSE']
O88520,['SHOC2_MOUSE']
O88689,['PCDA4_MOUSE']
O88947,['FA10_MOUSE']
P01573,['IFNA2_MOUSE']
P01582,['IL1A_MOUSE']
P04627,['ARAF_MOUSE']
P08207,['S10AA_MOUSE']
P09055,['ITB1_MOUSE']
P09803,['CADH1_MOUSE']
P12961,['7B2_MOUSE']
P13808,['B3A2_MOUSE']
P16283,['B3A3_MOUSE']
P20612,['GNAT1_MOUSE']
P21129,['P3_MOUSE']
P24610,['PAX3_MOUSE']
P27046,['MA2A1_MOUSE']
P27811,['KLRBA_MOUSE']
P39087,['GRIK2_MOUSE']
P39688,['FYN_MOUSE']
P41242,['MATK_MOUSE']
P43883,['PLIN2_MOUSE']
P47212,['GALA_MOUSE']
P47856,['GFPT1_MOUSE']
P47867,['SCG3_MOUSE']
P48794,['HYALP_MOUSE']
P49769,['PSN1_MOUSE']
Q792X7,['CDN2A_MOUSE']
P51954,['NEK1_MOUSE']
P53798,['FDFT_MOUSE']
P55850,['DSC3_MOUSE']
P56389,['CDD_MOUSE']
P56726,['SMO_MOUSE']
P57724,['PCBP4_MOUSE']
P58391,['KCNN3_MOUSE']
P58544,['BTBD1_MOUSE']
P59041,['DJC30_MOUSE']
P60330,['ESPL1_MOUSE']
P60755,['MDGA2_MOUSE']
P61965,['WDR5_MOUSE']
P62340,['TBPL1_MOUSE']
P63248,['IPKA_MOUSE']
P70122,['SBDS_MOUSE']
P70211,['DCC_MOUSE']
P70289,['PTPRV_MOUSE']
P70298,['CUX2_MOUSE']
P70349,['HINT1_MOUSE']
P70697,['DCUP_MOUSE']
P81270,['ERG_MOUSE']
P82198,['BGH3_MOUSE']
P97313,['PRKDC_MOUSE']
P97402,['GCNT2_MOUSE']
P97467,['AMD_MOUSE']
P97493,['THIOM_MOUSE']
P97496,['SMRC1_MOUSE']
P97789,['XRN1_MOUSE']
Q00342,['FLT3_MOUSE']
Q00651,['ITA4_MOUSE']
Q03160,['GRB7_MOUSE']
Q05186,['RCN1_MOUSE']
Q05860,['FMN1_MOUSE']
Q05CL8,['LARP7_MOUSE']
Q0VAX3,['FS2P1_MOUSE']
Q14BT6,['A4GCT_MOUSE']
Q3TC46,['PATL1_MOUSE']
Q3TL44,['NLRX1_MOUSE']
Q3TN34,['MILK2_MOUSE']
Q3UHF7,['ZEP2_MOUSE']
Q3UM29,['COG7_MOUSE']
Q3UQN2,['FCHO2_MOUSE']
Q3URK3,['TET1_MOUSE']
Q3USF0,['B3GN6_MOUSE']
Q3UTA9,['I4E1B_MOUSE']
Q3UUX7,['CD046_MOUSE']
Q3UV70,['PDP1_MOUSE']
Q3UY90,['GAK1A_MOUSE']
Q3V038,['TTC9A_MOUSE']
Q3V3G7,['GRM2A_MOUSE']
Q4KWH5,['PLCH1_MOUSE']
Q4VBF2,['R3HD4_MOUSE']
Q505D9,['TRI67_MOUSE']
Q571E4,['GALNS_MOUSE']
Q5EBH1,['RASF5_MOUSE']
Q5F259,['AN13B_MOUSE']
Q5GH68,['XKR2_MOUSE']
Q5RJY2,['G2E3_MOUSE']
Q5SUE8,['ANR40_MOUSE']
Q5SZA1,['NPT3_MOUSE']
Q5XK03,['SERC4_MOUSE']
Q60662,['AKAP4_MOUSE']
Q60695,['RGL1_MOUSE']
Q60949,['TBCD1_MOUSE']
Q61127,['NAB2_MOUSE']
Q61189,['ICLN_MOUSE']
Q61409,['PDE3B_MOUSE']
Q61704,['ITIH3_MOUSE']
Q61727,['I10R1_MOUSE']
Q62137,['JAK3_MOUSE']
Q62178,['SEM4A_MOUSE']
Q62245,['SOS1_MOUSE']
Q62314,['TGON2_MOUSE']
Q62424,['HXA13_MOUSE']
Q640L5,['CCD18_MOUSE']
Q64237,['DOPO_MOUSE']
Q64318,['ZEB1_MOUSE']
Q64338,['PDE1C_MOUSE']
Q66X19,['NAL4E_MOUSE']
Q68FE6,['RIPR1_MOUSE']
Q6A009,['LTN1_MOUSE']
Q6A0D4,['RFTN1_MOUSE']
Q6DIA7,['CS057_MOUSE']
Q6IRU7,['CEP78_MOUSE']
Q6NZK8,['PTPC1_MOUSE']
Q6P1B3,['PIANP_MOUSE']
Q6PDH0,['PHLB1_MOUSE']
Q6PE15,['ABHDA_MOUSE']
Q6UQ17,['AT8B3_MOUSE']
Q6ZQK0,['CNDD3_MOUSE']
Q75N73,['S39AE_MOUSE']
Q7M722,['TR114_MOUSE']
Q7SIG6,['ASAP2_MOUSE']
Q7TNF8,['RIMB1_MOUSE']
Q7TQG1,['PKHA6_MOUSE']
Q7TQK1,['INT7_MOUSE']
Q7TSD4,['TBATA_MOUSE']
