,Occurences
signal transduction,52
regulation of biological process,167
cellular metabolic process,100
metabolic process,112
localization,58
process utilizing autophagic mechanism,3
regulation of molecular function,48
cellular localization,32
cellular component organization or biogenesis,73
developmental process,83
biological adhesion,14
cellular response to stimulus,40
cell adhesion,12
regulation of biological quality,61
movement of cell or subcellular component,25
response to stimulus,65
locomotion,19
multicellular organismal process,55
cellular developmental process,51
cell cycle process,10
cell cycle,3
microtubule-based process,12
growth,11
behavior,9
transmembrane transport,10
immune system process,27
reproductive process,29
export from cell,4
establishment or maintenance of cell polarity,4
vesicle-mediated transport,15
cell activation,10
cell population proliferation,7
biological process involved in interspecies interaction between organisms,14
cell death,12
cell growth,4
cellular process involved in reproduction in multicellular organism,10
actin filament-based process,7
signaling receptor ligand precursor processing,1
cellular homeostasis,15
signaling,6
pigmentation,1
cell communication,7
ensheathment of neurons,2
rhythmic process,4
vesicle targeting,2
exocytic process,3
chromosome segregation,1
biomineralization,1
membrane docking,2
cell recognition,2
cell cycle checkpoint,1
maintenance of location in cell,1
protein folding,2
cell killing,1
multi-organism process,1
intermediate filament-based process,1
