,Occurences
intracellular organelle,164
membrane-bounded organelle,157
membrane,104
intrinsic component of membrane,70
site of polarized growth,6
cell projection,32
cell junction,29
cell body,18
non-membrane-bounded organelle,51
nuclear protein-containing complex,20
supramolecular complex,21
catalytic complex,18
organelle subcompartment,9
microtubule end,1
nuclear body,6
microtubule organizing center,10
chromatin,5
extracellular organelle,3
membrane-enclosed lumen,7
ribonucleoprotein complex,9
intracellular protein-containing complex,12
extrinsic component of membrane,4
external encapsulating structure,7
postsynapse,2
receptor complex,6
leading edge membrane,2
membrane protein complex,13
protein complex involved in cell adhesion,2
side of membrane,7
neuron projection terminus,5
presynapse,7
ciliary transition zone,3
postsynaptic specialization,5
cytoplasm,6
transporter complex,4
inclusion body,1
dendrite terminus,1
transcription regulator complex,2
DNA repair complex,1
vesicle tethering complex,1
RNA cap binding complex,1
cilium,3
Sm-like protein family complex,1
DNA packaging complex,2
chromosomal region,1
myofilament,1
cell body membrane,1
extracellular region,1
endoplasmic reticulum protein-containing complex,2
mitochondrial protein-containing complex,1
microtubule associated complex,1
protein-DNA complex,1
envelope,1
myosin complex,1
