,Occurences
heterocyclic compound binding,81
transferase activity,39
carbohydrate derivative binding,37
small molecule binding,41
"catalytic activity, acting on a protein",41
organic cyclic compound binding,81
ion binding,93
lipid binding,12
protein binding,114
molecular function regulator,34
sulfur compound binding,2
protein-containing complex binding,15
hydrolase activity,34
molecular transducer activity,18
structural molecule activity,3
transcription regulator activity,24
"catalytic activity, acting on RNA",5
transporter activity,19
amide binding,2
oxidoreductase activity,12
carbohydrate binding,5
extracellular matrix binding,1
general transcription initiation factor activity,1
lyase activity,4
antigen binding,1
translation regulator activity,3
modified amino acid binding,1
ligase activity,1
cyclase activity,1
"catalytic activity, acting on DNA",1
isomerase activity,3
chromatin binding,2
molecular adaptor activity,1
