Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
A0JNT9,BICL1_MOUSE,BICD family-like cargo adapter 1,Mus musculus (Mouse),"cytoplasm IEA, centrosome IDA","GO:0005813, GO:0005737","dynactin binding IDA, Rab GTPase binding IDA","GO:0017137, GO:0034452","Golgi to secretory granule transport IMP, neuron projection development IMP, vesicle transport along microtubule IBA","GO:0047496, GO:0055107, GO:0031175","Neurogenesis,  Coiled coil, 3D-structure,  Cytoplasm,  Alternative splicing,  Cytoskeleton,  Reference proteome,  Transport"
A2A6M5,CACO2_MOUSE,Calcium-binding and coiled-coil domain-containing protein 2 {ECO:0000250|UniProtKB:Q13137},Mus musculus (Mouse),"cytoplasm ISS, cytoplasmic vesicle IEA, cytoskeleton IEA, autophagosome membrane IEA, perinuclear region of cytoplasm IEA, PML body ISO, autophagosome ISS","GO:0005776, GO:0031410, GO:0000421, GO:0005856, GO:0048471, GO:0005737, GO:0016605",,,"positive regulation of autophagosome maturation ISS, xenophagy ISS","GO:1901098, GO:0098792","Cytoplasmic vesicle,  Coiled coil, Alternative splicing,  Cytoplasm,  Cytoskeleton,  Autophagy,  Reference proteome,  Membrane"
A2A6T1,CDR2L_MOUSE,Cerebellar degeneration-related protein 2-like,Mus musculus (Mouse),,,identical protein binding ISO,GO:0042802,,," Phosphoprotein, Coiled coil,  Reference proteome"
A2AG06,MEIOC_MOUSE,Meiosis-specific coiled-coil domain-containing protein MEIOC {ECO:0000305},Mus musculus (Mouse),"nucleus IDA, cytoplasm IDA","GO:0005737, GO:0005634",,,"female meiosis I IMP, germline cell cycle switching, mitotic to meiotic cell cycle IMP, metaphase plate congression IMP, mRNA stabilization IMP, male meiosis I IMP, oocyte development IMP, chromosome organization involved in meiotic cell cycle IMP, spermatogenesis IMP, spermatid development IMP, double-strand break repair IMP, synaptonemal complex assembly IMP","GO:0007144, GO:0051310, GO:0048599, GO:0006302, GO:0007283, GO:0070192, GO:0007286, GO:0051729, GO:0007130, GO:0007141, GO:0048255"," Nucleus, Alternative splicing,  Cytoplasm,  Meiosis,  Reference proteome"
A2AH22,AMRA1_MOUSE,Activating molecule in BECN1-regulated autophagy protein 1,Mus musculus (Mouse),"cytoplasm ISO, axoneme IDA, phagocytic vesicle IDA, cytosol IDA, autophagosome IEA, mitochondrion ISO, intracellular membrane-bounded organelle IBA","GO:0005776, GO:0005739, GO:0043231, GO:0005737, GO:0005930, GO:0045335, GO:0005829","GTPase binding ISO, ubiquitin protein ligase binding ISO","GO:0051020, GO:0031625","positive regulation of autophagy ISO, autophagy IMP, autophagosome assembly ISO, cellular response to starvation IEA, cell differentiation IEA, negative regulation of cardiac muscle cell apoptotic process ISO, neural tube development IMP, negative regulation of neuron apoptotic process IMP, response to mitochondrial depolarisation ISO, autophagy of mitochondrion ISO, negative regulation of cell population proliferation IMP, mitophagy ISO, positive regulation of phosphatidylinositol 3-kinase activity ISO","GO:0043552, GO:0000422, GO:0010667, GO:0021915, GO:0098780, GO:0043524, GO:0010508, GO:0000045, GO:0006914, GO:0000423, GO:0030154, GO:0009267, GO:0008285","Phosphoprotein,  Cytoplasmic vesicle,  Methylation,  WD repeat, Alternative splicing,  Repeat,  Differentiation, Developmental protein,  Neurogenesis,  Autophagy,  Reference proteome"
A2AI08,TPRN_MOUSE,Taperin,Mus musculus (Mouse),"stereocilium IDA, stereocilium base IDA","GO:0120044, GO:0032420",phosphatase binding IEA,GO:0019902,"auditory receptor cell stereocilium organization IGI, sensory perception of sound IMP","GO:0060088, GO:0007605"," Reference proteome,  Hearing,  Phosphoprotein, Cell projection"
A2AJ76,FT,Hemicentin-2,Mus musculus (Mouse),"basement membrane IDA, cleavage furrow IEA, cell junction IDA, cell cortex IDA, extracellular region IDA, extracellular space IBA, collagen-containing extracellular matrix HDA, extracellular matrix IBA","GO:0032154, GO:0005604, GO:0030054, GO:0005615, GO:0005576, GO:0031012, GO:0062023, GO:0005938",calcium ion binding IEA,GO:0005509,response to stimulus IEA,GO:0050896," Glycoprotein, Phosphoprotein,  Sensory transduction, Extracellular matrix,  Methylation,  Disulfide bond, Alternative splicing,  EGF-like domain,  Repeat,  Secreted,  Immunoglobulin domain,  Reference proteome,  Calcium, Signal"
Q8R2P3,CNTLN_MOUSE,Centlein,Mus musculus (Mouse),"cytoplasm ISO, centriole ISO, centrosome ISO, cytosol ISO, nucleoplasm ISO","GO:0005814, GO:0005654, GO:0005813, GO:0005737, GO:0005829","protein domain specific binding ISO, protein kinase binding ISO, protein-macromolecule adaptor activity ISO","GO:0030674, GO:0019904, GO:0019901","protein localization to organelle ISO, centriole-centriole cohesion ISO","GO:0010457, GO:0033365","Phosphoprotein,  Coiled coil, Acetylation,  Cytoplasm,  Alternative splicing,  Cytoskeleton,  Reference proteome"
A3KFX0,5NT1A_MOUSE,Cytosolic 5'-nucleotidase 1A,Mus musculus (Mouse),cytosol IBA,GO:0005829,"nucleotide binding IEA, 5'-nucleotidase activity ISO, magnesium ion binding IEA","GO:0000287, GO:0000166, GO:0008253","adenosine metabolic process ISO, nucleotide metabolic process IEA, purine nucleoside monophosphate catabolic process IMP","GO:0009128, GO:0046085, GO:0009117","Reference proteome,  Hydrolase, Cytoplasm,  Nucleotide metabolism,  Nucleotide-binding,  Magnesium"
A3KGW5,GT253_MOUSE,Inactive glycosyltransferase 25 family member 3,Mus musculus (Mouse),endoplasmic reticulum lumen IEA,GO:0005788,identical protein binding ISO,GO:0042802,cell adhesion ISO,GO:0007155," Glycoprotein,  Endoplasmic reticulum, Cell adhesion,  Reference proteome, Signal"
