Uniprot Entry,Accession Name
A0JNT9,['BICL1_MOUSE']
A2A6M5,['CACO2_MOUSE']
A2A6T1,['CDR2L_MOUSE']
A2AG06,['MEIOC_MOUSE']
A2AH22,['AMRA1_MOUSE']
A2AI08,['TPRN_MOUSE']
A2AJ76,['HMCN2_MOUSE']
Q8R2P3,['CNTLN_MOUSE']
A3KFX0,['5NT1A_MOUSE']
A3KGW5,['GT253_MOUSE']
A7E1Z1,['TM215_MOUSE']
B0QZF7,['PRCA1_MOUSE']
B1AS29,['GRIK3_MOUSE']
B2RR83,['YTDC2_MOUSE']
B2RXC5,['ZN382_MOUSE']
B7ZCC9,['AGRG4_MOUSE']
B8JK39,['ITA9_MOUSE']
D3YZV8,['CCDC8_MOUSE']
E9PYL2,['PRR12_MOUSE']
E9Q6B2,['CC85C_MOUSE']
E9Q6J5,['BD1L1_MOUSE']
O09106,['HDAC1_MOUSE']
O35144,['TERF2_MOUSE']
O35239,['PTN9_MOUSE']
O35683,['NDUA1_MOUSE']
O54901,['OX2G_MOUSE']
O70157,['TOP3A_MOUSE']
O70497,['FCN2_MOUSE']
O88398,['AVIL_MOUSE']
O88455,['DHCR7_MOUSE']
O88851,['RBBP9_MOUSE']
O88967,['YMEL1_MOUSE']
P01632,['KV1A1_MOUSE']
P04919,['B3AT_MOUSE']
P05784,['K1C18_MOUSE']
P06880,['SOMA_MOUSE']
P08775,['RPB1_MOUSE']
P0C192,['LRC4B_MOUSE']
P12710,['FABPL_MOUSE']
P12790,['CP2B9_MOUSE']
P13634,['CAH1_MOUSE']
P14901,['HMOX1_MOUSE']
P15331,['PERI_MOUSE']
P18572,['BASI_MOUSE']
P21981,['TGM2_MOUSE']
P25976,['UBF1_MOUSE']
P26361,['CFTR_MOUSE']
P28063,['PSB8_MOUSE']
P29352,['PTN22_MOUSE']
P35546,['RET_MOUSE']
P35601,['RFC1_MOUSE']
P37804,['TAGL_MOUSE']
P40646,['SOX7_MOUSE']
P46656,['ADX_MOUSE']
P50294,['ARY1_MOUSE']
P51125,['ICAL_MOUSE']
P51491,['OPSB_MOUSE']
P51830,['ADCY9_MOUSE']
P54099,['DPOG1_MOUSE']
P59240,['NPHP4_MOUSE']
P59279,['RAB2B_MOUSE']
