,Occurences
movement of cell or subcellular component,18
localization,64
microtubule-based process,11
cellular component organization or biogenesis,77
cellular localization,37
regulation of biological process,164
process utilizing autophagic mechanism,8
metabolic process,122
cellular metabolic process,107
cellular developmental process,40
response to stimulus,78
developmental process,74
reproductive process,19
regulation of biological quality,50
cellular response to stimulus,49
cellular process involved in reproduction in multicellular organism,5
cell cycle process,23
cell communication,9
regulation of molecular function,42
multicellular organismal process,47
biological adhesion,16
signal transduction,47
signaling,6
cell cycle,6
biological process involved in interspecies interaction between organisms,12
locomotion,12
immune system process,21
rhythmic process,4
cell adhesion,10
cell recognition,4
actin filament-based process,7
growth,5
cellular homeostasis,10
intermediate filament-based process,4
cell death,8
vesicle-mediated transport,13
cell population proliferation,5
multi-organism process,2
transmembrane transport,13
membrane docking,2
exocytic process,1
cell activation,6
behavior,2
biomineralization,1
cell cycle checkpoint,4
export from cell,2
gene silencing,2
pigmentation,1
chromosome segregation,1
ensheathment of neurons,2
cell aggregation,1
vacuolar transport,4
protein folding,2
establishment or maintenance of cell polarity,1
cell division,1
microtubule organizing center localization,1
cell growth,2
