,Occurences
microtubule organizing center,15
intracellular organelle,155
membrane,107
nuclear body,10
membrane-bounded organelle,146
non-membrane-bounded organelle,54
cell projection,36
external encapsulating structure,12
cytoplasm,6
membrane-enclosed lumen,12
intrinsic component of membrane,68
receptor complex,4
membrane protein complex,11
transporter complex,5
presynapse,5
supramolecular complex,28
protein complex involved in cell adhesion,1
postsynaptic specialization,4
cell junction,20
catalytic complex,20
chromatin,4
transcription regulator complex,3
nuclear protein-containing complex,17
cell body,10
protein-DNA complex,2
chromosomal region,4
mitochondrial protein-containing complex,5
extrinsic component of membrane,6
side of membrane,4
organelle subcompartment,7
intracellular protein-containing complex,11
nucleoid,2
cilium,1
ciliary transition zone,2
postsynapse,4
site of DNA damage,2
neuron projection terminus,1
extracellular organelle,1
site of polarized growth,4
cell pole,1
leading edge membrane,4
actomyosin,2
actin filament bundle,2
microtubule associated complex,2
microtubule end,1
spindle midzone,1
inclusion body,2
envelope,2
ribonucleoprotein complex,5
inflammasome complex,2
stereocilia coupling link,1
cohesin complex,1
synaptonemal structure,1
vesicle tethering complex,1
gamma-tubulin complex,1
endoplasmic reticulum protein-containing complex,2
spindle pole,2
replication fork,1
cluster of actin-based cell projections,1
