,Occurences
protein binding,115
ion binding,103
molecular adaptor activity,2
small molecule binding,53
hydrolase activity,54
organic cyclic compound binding,96
heterocyclic compound binding,94
molecular transducer activity,18
transporter activity,22
carbohydrate derivative binding,48
"catalytic activity, acting on RNA",11
transcription regulator activity,17
extracellular matrix binding,2
protein-containing complex binding,17
molecular function regulator,29
"catalytic activity, acting on a protein",47
chromatin binding,5
isomerase activity,1
"catalytic activity, acting on DNA",5
lipid binding,13
oxidoreductase activity,9
transferase activity,43
lyase activity,4
carbohydrate binding,5
exogenous protein binding,1
general transcription initiation factor activity,2
metal cluster binding,2
cyclase activity,1
translation regulator activity,1
structural molecule activity,4
demethylase activity,1
amide binding,5
cargo receptor activity,1
sulfur compound binding,1
