Uniprot Entry,Accession Name
A0A4W9,['A0A4W9_MOUSE']
A0JLR7,['A0JLR7_MOUSE']
A0JLV3,['A0JLV3_MOUSE']
A0PJB8,['A0PJB8_MOUSE']
A1BN54,['A1BN54_MOUSE']
A1E2B8,['A1E2B8_MOUSE']
A1L2Z3,['A1L2Z3_MOUSE']
A1L332,['A1L332_MOUSE']
A2A4E2,['A2A4E2_MOUSE']
A2A513,['A2A513_MOUSE']
A2A547,['A2A547_MOUSE']
A2A5R6,['A2A5R6_MOUSE']
A2A6E7,['A2A6E7_MOUSE']
A2A6H0,['A2A6H0_MOUSE']
A2A6Q3,['A2A6Q3_MOUSE']
A2A7H4,['A2A7H4_MOUSE']
A2A815,['A2A815_MOUSE']
A2A839,['A2A839_MOUSE']
A2A845,['A2A845_MOUSE']
A2A8K5,['A2A8K5_MOUSE']
A2A9X5,['A2A9X5_MOUSE']
A2AAA9,['A2AAA9_MOUSE']
A2AC05,['A2AC05_MOUSE']
A2AC13,['A2AC13_MOUSE']
A2AC24,['A2AC24_MOUSE']
A2ACC7,['A2ACC7_MOUSE']
A2AE89,['A2AE89_MOUSE']
A2AEX7,['A2AEX7_MOUSE']
A2AFG7,['A2AFG7_MOUSE']
A2AFP1,['A2AFP1_MOUSE']
A2AG48,['A2AG48_MOUSE']
A2AGI3,['A2AGI3_MOUSE']
A2AGL3,['RYR3_MOUSE']
A2AGN7,['A2AGN7_MOUSE']
A2AGR1,['A2AGR1_MOUSE']
A2AIJ1,['A2AIJ1_MOUSE']
A2AIV3,['A2AIV3_MOUSE']
A2AKB4,['FRPD1_MOUSE']
A2AKD7,['A2AKD7_MOUSE']
A2AKH7,['A2AKH7_MOUSE']
A2AL71,['A2AL71_MOUSE']
A2ALS7,['A2ALS7_MOUSE']
A2ALT5,['A2ALT5_MOUSE']
A2ALV7,['A2ALV7_MOUSE']
A2AM65,['A2AM65_MOUSE']
A2AM78,['A2AM78_MOUSE']
A2AMG5,['A2AMG5_MOUSE']
A2AMQ5,['A2AMQ5_MOUSE']
A2AP32,['A2AP32_MOUSE']
A2AP93,['A2AP93_MOUSE']
A2APX3,['A2APX3_MOUSE']
A2AQ50,['A2AQ50_MOUSE']
A2AQA9,['A2AQA9_MOUSE']
A2AQE4,['A2AQE4_MOUSE']
Q8BVG9,['VIP1_MOUSE']
A2ASW8,['A2ASW8_MOUSE']
A2AT02,['A2AT02_MOUSE']
A2ATI9,['A2ATI9_MOUSE']
