,Occurences
regulation of molecular function,26
regulation of biological process,264
cellular component organization or biogenesis,154
localization,149
nitrogen compound metabolic process,167
developmental process,64
primary metabolic process,207
cellular developmental process,29
cellular metabolic process,215
organic substance metabolic process,221
biosynthetic process,76
small molecule metabolic process,68
reproductive process,16
catabolic process,62
process utilizing autophagic mechanism,8
actin filament-based process,18
vesicle-mediated transport,42
signal transduction,86
cellular localization,69
multicellular organismal process,49
multi-organism process,2
biological adhesion,21
response to stimulus,74
regulation of biological quality,65
cellular homeostasis,21
cellular response to stimulus,28
transmembrane transport,21
cell death,18
cell cycle checkpoint,2
cell cycle process,11
cell cycle,2
microtubule-based process,19
movement of cell or subcellular component,27
ATP metabolic process,5
export from cell,15
detoxification,2
cellular detoxification,2
cell adhesion,11
behavior,10
cell communication,3
signaling,4
immune system process,24
cell activation,6
membrane docking,4
cell growth,3
growth,6
NADP metabolic process,4
methylation,3
ensheathment of neurons,1
locomotion,12
intermediate filament-based process,3
biological process involved in intraspecies interaction between organisms,1
glycosylation,7
cell population proliferation,2
establishment or maintenance of cell polarity,3
biological process involved in interspecies interaction between organisms,19
vacuolar transport,1
cell killing,1
rhythmic process,1
secondary metabolic process,1
reproduction,1
pigment metabolic process,2
exocytic process,2
maintenance of location in cell,1
cellular process involved in reproduction in multicellular organism,1
chromosome segregation,2
protein folding,1
