,Occurences
intracellular organelle,261
non-membrane-bounded organelle,86
plasma membrane,7
membrane-bounded organelle,222
cell junction,36
extracellular organelle,3
protein-DNA complex,6
DNA packaging complex,6
cell projection,36
membrane protein complex,59
endoplasmic reticulum protein-containing complex,5
supramolecular complex,31
ribonucleoprotein complex,21
membrane microdomain,9
cytoplasm,7
integral component of membrane,27
intrinsic component of plasma membrane,22
organelle membrane,96
transporter complex,14
intracellular protein-containing complex,28
catalytic complex,38
nuclear protein-containing complex,24
chromosomal region,1
mitochondrial protein-containing complex,9
myofilament,1
organelle subcompartment,8
intrinsic component of organelle membrane,7
microtubule associated complex,4
outer membrane,14
external encapsulating structure,12
vesicle tethering complex,7
tricarboxylic acid cycle enzyme complex,1
membrane-enclosed lumen,13
organelle membrane contact site,1
microtubule organizing center,8
extrinsic component of membrane,2
neuron projection terminus,2
presynapse,2
plasma membrane region,32
postsynapse,3
cell body,8
nuclear body,5
chromatin,2
leading edge membrane,5
cilium,4
Sm-like protein family complex,3
protein-lipid complex,1
transcription regulator complex,2
envelope,3
postsynaptic specialization,3
side of membrane,3
ciliary transition zone,1
actomyosin,1
actin filament bundle,1
site of polarized growth,4
receptor complex,2
protein complex involved in cell adhesion,1
inclusion body,1
collagen trimer,1
anchored component of membrane,1
cell body membrane,1
glycoprotein complex,1
cytochrome complex,1
chaperone complex,1
microtubule end,1
