,Occurences
protein binding,207
heterocyclic compound binding,301
organic cyclic compound binding,301
protein-containing complex binding,29
ion binding,319
small molecule binding,197
carbohydrate derivative binding,177
transporter activity,67
structural molecule activity,30
transcription regulator activity,27
hydrolase activity,173
oxidoreductase activity,35
molecular transducer activity,35
molecular function regulator,67
transferase activity,104
"catalytic activity, acting on a protein",120
molecular carrier activity,3
lipid binding,18
sulfur compound binding,10
ligase activity,22
"catalytic activity, acting on RNA",20
isomerase activity,13
metal cluster binding,6
antioxidant activity,5
fatty acid derivative binding,3
amide binding,6
lyase activity,9
chromatin binding,1
cargo receptor activity,2
carbohydrate binding,5
glycogen debranching enzyme activity,1
amine binding,1
translation regulator activity,8
peptidoglycan muralytic activity,1
"catalytic activity, acting on DNA",1
molecular adaptor activity,4
extracellular matrix binding,1
exogenous protein binding,1
modified amino acid binding,1
molecular sequestering activity,1
